kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;cilinderinhoud;vervaldatum_apk;vervaldatum_apk_dt;toegestane_maximum_massa_voertuig;laadvermogen;aantal_zitplaatsen;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;bruto_bpm;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;type_gasinstallatie
00KXB1;Personenauto;PEUGEOT;207;20201106;MPV;ZWART;Niet geregistreerd;4;1145;1245;20100226;20100226;Geen verstrekking in Open Data;Ja;4;4;0;0;403;0;M1;r. op schutbord onder motorkap;1640;0;0.06;254;Nee;Nee;Nee;2580;2022;Logisch;00;Ja;2020-11-06T00:00:00.000;2010-02-26T00:00:00.000;2010-02-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1397;20231105;2023-11-05T00:00:00.000;1640;;5;600;1150;;;3294;18770;W*****;e2*2001/116*0340*17;C8FS;C/1;0;C;;
00KXG5;Personenauto;PEUGEOT;PEUGEOT 107;20220604;hatchback;GRIJS;Niet geregistreerd;3;780;880;20100331;20100331;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2022-06-04T00:00:00.000;2010-03-31T00:00:00.000;2010-03-31T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20230409;2023-04-09T00:00:00.000;1190;;4;;;;;;10994;P*****;e11*2001/116*0237*07;NCFA;C;0;A;;
00KXG6;Personenauto;PEUGEOT;206+;20230120;hatchback;GRIJS;Niet geregistreerd;4;927;1027;20100225;20100225;Geen verstrekking in Open Data;Ja;4;4;0;0;387;0;M1;r. kofferruimte;1421;0;0.05;244;Nee;Nee;Nee;2321;2023;Logisch;00;Ja;2023-01-20T00:00:00.000;2010-02-25T00:00:00.000;2010-02-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1360;20240225;2024-02-25T00:00:00.000;1421;;5;510;1178;;;2747;14370;2*****;e2*2001/116*0374*02;MKFW;A;0;D;;
00KXP5;Personenauto;PEUGEOT;308;20220122;hatchback;GRIJS;Niet geregistreerd;4;1262;1362;20090310;20100301;Geen verstrekking in Open Data;Ja;4;4;0;0;428;0;M1;r. schroefveerkoker;1815;0;0.06;261;Nee;Nee;Nee;3215;2022;Geen oordeel;05;Ja;2022-01-22T00:00:00.000;2009-03-10T00:00:00.000;2010-03-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20230310;2023-03-10T00:00:00.000;1815;;5;680;1650;;;4467;;4*****;e2*2001/116*0362*10;C5FW;C;0;B;;
00KXP8;Personenauto;PEUGEOT;3008;20210727;MPV;ZWART;Niet geregistreerd;4;1434;1534;20100309;20100309;Geen verstrekking in Open Data;Ja;4;4;0;0;437;0;M1;r. by schroefveerkoker;2020;0;0.07;261;Nee;Nee;Nee;3420;2022;Logisch;00;Ja;2021-07-27T00:00:00.000;2010-03-09T00:00:00.000;2010-03-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20230815;2023-08-15T00:00:00.000;2020;;5;750;1500;;;6131;29940;0U****;e2*2001/116*0377*03;5FV;8/1;0;C;;
00KXT2;Personenauto;PEUGEOT;PEUGEOT 107;20221226;hatchback;ZWART;Niet geregistreerd;3;775;875;20100303;20100303;Geen verstrekking in Open Data;Ja;2;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1180;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2022-12-26T00:00:00.000;2010-03-03T00:00:00.000;2010-03-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20231221;2023-12-21T00:00:00.000;1180;;4;;;;;;10734;P*****;e11*2001/116*0237*07;MCFA;C;0;A;;
00KXT3;Personenauto;PEUGEOT;308;20210311;MPV;BLAUW;Niet geregistreerd;4;1262;1362;20100312;20100312;Geen verstrekking in Open Data;Ja;4;4;0;0;428;0;M1;r. tegen schroefveerkoker onder motorkap;1815;0;0.06;261;Nee;Nee;Nee;3215;2022;Logisch;00;Ja;2021-03-11T00:00:00.000;2010-03-12T00:00:00.000;2010-03-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20230312;2023-03-12T00:00:00.000;1815;;5;680;1650;;;4803;24030;4*****;e2*2001/116*0362*19;C5FW;C;0;C;;
00KXX3;Personenauto;PEUGEOT;PEUGEOT 107;20200212;hatchback;ZWART;Niet geregistreerd;3;765;865;20060728;20100306;Geen verstrekking in Open Data;Ja;2;4;0;0;343;0;M1;r. op bodemplaat by voorzitting;1180;0;0.06;234;Nee;Nee;Nee;0;2022;Onlogisch;04;Ja;2020-02-12T00:00:00.000;2006-07-28T00:00:00.000;2010-03-06T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20230829;2023-08-29T00:00:00.000;1180;;4;;;;;636;;;e11*2001/116*0237*02;MCFA;C;0;A;;
00KXX7;Personenauto;PEUGEOT;207;20100309;cabriolet;WIT;Niet geregistreerd;4;1317;1417;20100309;20100309;Geen verstrekking in Open Data;Ja;2;4;0;0;404;0;M1;r. op schutbord onder motorkap;1709;0;0.06;254;Nee;Nee;Nee;2559;2023;Logisch;00;Ja;2010-03-09T00:00:00.000;2010-03-09T00:00:00.000;2010-03-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20240311;2024-03-11T00:00:00.000;1709;;4;600;1040;;;4826;25480;W*****;e2*2001/116*0340*17;B5FS;0;0;C;0.00;
00KZB8;Personenauto;PEUGEOT;PEUGEOT 107;20100326;hatchback;GEEL;Niet geregistreerd;3;775;875;20100326;20100326;Geen verstrekking in Open Data;Ja;2;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1180;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2010-03-26T00:00:00.000;2010-03-26T00:00:00.000;2010-03-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20230326;2023-03-26T00:00:00.000;1180;;4;;;;;;10419;P*****;e11*2001/116*0237*07;MCFA;C;0;A;;
00KZB9;Personenauto;PEUGEOT;207;20180111;stationwagen;WIT;Niet geregistreerd;4;1243;1343;20100322;20100322;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. op schutbord onder motorkap;1758;0;0.05;254;Nee;Nee;Nee;2708;2022;Logisch;00;Ja;2018-01-11T00:00:00.000;2010-03-22T00:00:00.000;2010-03-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1560;20230406;2023-04-06T00:00:00.000;1758;;5;600;1150;;;4623;20900;W*****;e2*2001/116*0340*17;E9HV;C;0;C;0.00;
00KZH2;Personenauto;PEUGEOT;PEUGEOT 107;20180622;hatchback;ROOD;Niet geregistreerd;3;780;880;20100128;20100308;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Ja;Nee;0;2022;Geen oordeel;05;Ja;2018-06-22T00:00:00.000;2010-01-28T00:00:00.000;2010-03-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20230621;2023-06-21T00:00:00.000;1190;;4;;;;;;;P*****;e11*2001/116*0237*06;NCFA;C;0;A;;
