kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;cilinderinhoud;vervaldatum_apk;vervaldatum_apk_dt;toegestane_maximum_massa_voertuig;laadvermogen;aantal_zitplaatsen;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;bruto_bpm;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;type_gasinstallatie
0003TH;Personenauto;PEUGEOT;304 BO 1;19850422;Niet geregistreerd;GRIJS;Niet geregistreerd;4;870;970;19711022;19711022;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;231;Nee;Nee;Nee;0;2012;Geen oordeel;01;Ja;1985-04-22T00:00:00.000;1971-10-22T00:00:00.000;1971-10-22T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0004PS;Personenauto;PEUGEOT;304 BO 1;20220224;Niet geregistreerd;Niet geregistreerd;Niet geregistreerd;4;870;970;19701104;19701104;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;231;Nee;Nee;Nee;0;2022;Geen oordeel;01;Ja;2022-02-24T00:00:00.000;1970-11-04T00:00:00.000;1970-11-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0004VS;Personenauto;PEUGEOT;504 B 12;19810828;Niet geregistreerd;WIT;Niet geregistreerd;4;1180;1280;19730103;19730103;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;255;Nee;Nee;Nee;0;2021;Geen oordeel;01;Ja;1981-08-28T00:00:00.000;1973-01-03T00:00:00.000;1973-01-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0005PS;Personenauto;PEUGEOT;504 B 12;20170904;Niet geregistreerd;GRIJS;Niet geregistreerd;4;1180;1280;19701013;19701013;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. op voorwielscherm onder motorkap;0;0;0.00;255;Nee;Nee;Nee;0;2020;Geen oordeel;01;Ja;2017-09-04T00:00:00.000;1970-10-13T00:00:00.000;1970-10-13T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0006NA;Personenauto;PEUGEOT;204 CABRIOLET;20210812;cabriolet;BLAUW;Niet geregistreerd;4;840;940;19700413;19700413;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. onder motorkap;0;0;0.05;231;Nee;Nee;Nee;0;2016;Geen oordeel;01;Ja;2021-08-12T00:00:00.000;1970-04-13T00:00:00.000;1970-04-13T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1130;;;;;;;;;;;;;;;;;;;
0006NF;Personenauto;PEUGEOT;504 C02;20170310;Niet geregistreerd;GRIJS;Niet geregistreerd;4;1170;1270;19700506;19700506;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;255;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;2017-03-10T00:00:00.000;1970-05-06T00:00:00.000;1970-05-06T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0007XD;Personenauto;PEUGEOT;304 CABRIOLET S;20190525;Niet geregistreerd;WIT;Niet geregistreerd;4;900;1000;19730109;19730109;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;230;Nee;Nee;Nee;0;2022;Geen oordeel;01;Ja;2019-05-25T00:00:00.000;1973-01-09T00:00:00.000;1973-01-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0010HX;Personenauto;PEUGEOT;204 COUPE;20230118;Niet geregistreerd;BEIGE;Niet geregistreerd;4;870;970;19690411;19690411;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;231;Nee;Nee;Nee;0;2016;Geen oordeel;01;Ja;2023-01-18T00:00:00.000;1969-04-11T00:00:00.000;1969-04-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0013HX;Personenauto;PEUGEOT;204 CABRIOLET;19950228;Niet geregistreerd;BLAUW;Niet geregistreerd;4;840;940;19690327;19690327;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;;0;0;0.00;231;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;1995-02-28T00:00:00.000;1969-03-27T00:00:00.000;1969-03-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0015PS;Personenauto;PEUGEOT;304 BO 1;19930719;Niet geregistreerd;BLAUW;Niet geregistreerd;4;870;970;19710401;19710401;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;231;Nee;Nee;Nee;0;2019;Geen oordeel;01;Ja;1993-07-19T00:00:00.000;1971-04-01T00:00:00.000;1971-04-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0016NF;Personenauto;PEUGEOT;304 BO 1;20220922;Niet geregistreerd;GRIJS;Niet geregistreerd;4;870;970;19711019;19711019;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.05;231;Nee;Nee;Nee;0;2020;Geen oordeel;01;Ja;2022-09-22T00:00:00.000;1971-10-19T00:00:00.000;1971-10-19T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1288;;;;;;;;;;;;;;;;;;;
0022NF;Personenauto;PEUGEOT;304 BO 1;20160913;Niet geregistreerd;BLAUW;Niet geregistreerd;4;870;970;19700616;19700616;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;231;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;2016-09-13T00:00:00.000;1970-06-16T00:00:00.000;1970-06-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0022XD;Personenauto;PEUGEOT;304 CABRIOLET S;19890818;Niet geregistreerd;Niet geregistreerd;Niet geregistreerd;4;900;1000;19730309;19730309;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;230;Nee;Nee;Nee;0;2021;Geen oordeel;01;Ja;1989-08-18T00:00:00.000;1973-03-09T00:00:00.000;1973-03-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;20230422;2023-04-22T00:00:00.000;;;;;;;;;;;;;;;;;
0023NF;Personenauto;PEUGEOT;304 BO 1;20190925;Niet geregistreerd;WIT;Niet geregistreerd;4;870;970;19700529;19700529;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;231;Nee;Nee;Nee;0;2020;Geen oordeel;01;Ja;2019-09-25T00:00:00.000;1970-05-29T00:00:00.000;1970-05-29T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0025XD;Personenauto;PEUGEOT;304 C02;20171212;Niet geregistreerd;WIT;Niet geregistreerd;4;940;1040;19730201;19730201;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;op l. voorwielscherm onder motorkap;0;0;0.00;230;Nee;Nee;Nee;0;2017;Niet geregistreerd;NG;Ja;2017-12-12T00:00:00.000;1973-02-01T00:00:00.000;1973-02-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0026PS;Personenauto;PEUGEOT;304 BO 1;20211111;Niet geregistreerd;WIT;Niet geregistreerd;4;870;970;19701120;19701120;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;231;Nee;Nee;Nee;0;2021;Geen oordeel;01;Ja;2021-11-11T00:00:00.000;1970-11-20T00:00:00.000;1970-11-20T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0032PS;Personenauto;PEUGEOT;304 BO 1;20210503;Niet geregistreerd;GEEL;Niet geregistreerd;4;870;970;19701127;19701127;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;231;Nee;Nee;Nee;0;2021;Geen oordeel;01;Ja;2021-05-03T00:00:00.000;1970-11-27T00:00:00.000;1970-11-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0033TG;Personenauto;PEUGEOT;304 BO 1;20130503;Niet geregistreerd;GROEN;Niet geregistreerd;4;870;970;19711224;19711224;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;;0;0;0.00;231;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;2013-05-03T00:00:00.000;1971-12-24T00:00:00.000;1971-12-24T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0035NA;Personenauto;PEUGEOT;504 C02;20120829;Niet geregistreerd;WIT;Niet geregistreerd;4;1170;1270;19700515;19700515;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;255;Nee;Nee;Nee;0;2019;Geen oordeel;01;Ja;2012-08-29T00:00:00.000;1970-05-15T00:00:00.000;1970-05-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0035PS;Personenauto;PEUGEOT;304 BO 1;20000412;Niet geregistreerd;WIT;Niet geregistreerd;4;870;970;19701208;19701208;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;231;Nee;Nee;Nee;0;2015;Geen oordeel;01;Ja;2000-04-12T00:00:00.000;1970-12-08T00:00:00.000;1970-12-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0041EB;Bedrijfsauto;PEUGEOT;204 UZ;20140623;gesloten opbouw;N.v.t.;N.v.t.;4;880;980;19750502;19750502;Geen verstrekking in Open Data;Nee;0;4;0;0;0;157;N1;op r. voorwielscherm onder motorkap;1315;0;0.04;259;Nee;Nee;Nee;0;2002;Geen oordeel;01;Ja;2014-06-23T00:00:00.000;1975-05-02T00:00:00.000;1975-05-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;20031213;2003-12-13T00:00:00.000;1315;435;;;;;;;;;;;;;;;
0044NF;Personenauto;PEUGEOT;304 BO 1;20100903;Niet geregistreerd;BLAUW;Niet geregistreerd;4;870;970;19701214;19701214;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;231;Nee;Nee;Nee;0;2019;Geen oordeel;01;Ja;2010-09-03T00:00:00.000;1970-12-14T00:00:00.000;1970-12-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0048PS;Personenauto;PEUGEOT;504 C12;19940207;Niet geregistreerd;ROOD;Niet geregistreerd;4;1210;1310;19710104;19710104;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;255;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;1994-02-07T00:00:00.000;1971-01-04T00:00:00.000;1971-01-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0057TV;Personenauto;PEUGEOT;504 F13;20011206;Niet geregistreerd;ROOD;Niet geregistreerd;4;1376;1476;19720303;19720303;Geen verstrekking in Open Data;Nee;4;4;;;;;M1;op r. voorwielscherm onder motorkap;;;0.00;290;Nee;Nee;Nee;;2016;Geen oordeel;07;Ja;2001-12-06T00:00:00.000;1972-03-03T00:00:00.000;1972-03-03T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0059FL;Personenauto;PEUGEOT;P-404-L;20230131;Niet geregistreerd;BEIGE;Niet geregistreerd;4;1216;1316;19680215;19680215;Geen verstrekking in Open Data;Nee;4;4;0;0;0;0;M1;op r. voorwielscherm v. vooras onder motorkap;0;0;0.00;284;Nee;Nee;Nee;0;2023;Geen oordeel;01;Ja;2023-01-31T00:00:00.000;1968-02-15T00:00:00.000;1968-02-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0067AL;Personenauto;PEUGEOT;403;19840723;Niet geregistreerd;BLAUW;Niet geregistreerd;4;1100;1200;19660119;19660119;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;;;;0.00;266;Nee;Nee;Nee;;2013;Logisch;00;Ja;1984-07-23T00:00:00.000;1966-01-19T00:00:00.000;1966-01-19T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0083TF;Personenauto;PEUGEOT;404 XC7;20211119;Niet geregistreerd;BLAUW;Niet geregistreerd;4;1060;1160;19711022;19711022;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;265;Nee;Nee;Nee;0;2018;Geen oordeel;01;Ja;2021-11-19T00:00:00.000;1971-10-22T00:00:00.000;1971-10-22T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0089FL;Personenauto;PEUGEOT;404 COUPE;20150112;Niet geregistreerd;GRIJS;Niet geregistreerd;4;1091;1191;19680411;19680411;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;265;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;2015-01-12T00:00:00.000;1968-04-11T00:00:00.000;1968-04-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0094FL;Personenauto;PEUGEOT;204 CABRIOLET;20140121;Niet geregistreerd;WIT;Niet geregistreerd;4;840;940;19680222;19680222;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;231;Nee;Nee;Nee;0;2022;Geen oordeel;01;Ja;2014-01-21T00:00:00.000;1968-02-22T00:00:00.000;1968-02-22T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
00AB18;Bedrijfsauto;PEUGEOT;404U10;20221111;open wagen;N.v.t.;N.v.t.;4;1170;1270;19771111;19771111;Geen verstrekking in Open Data;Ja;;4;;462;;170;N1;op r. voorwielscherm onder motorkap;2225;;0.04;290;Nee;Nee;Nee;;2022;Logisch;00;Ja;2022-11-11T00:00:00.000;1977-11-11T00:00:00.000;1977-11-11T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;20221104;2022-11-04T00:00:00.000;2225;1055;;;;;;;;;;;;;;;
00AG02;Personenauto;PEUGEOT;404 XC7;19950928;Niet geregistreerd;ROOD;Niet geregistreerd;4;1060;1160;19731004;19731004;Geen verstrekking in Open Data;Nee;4;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;265;Nee;Nee;Nee;0;2003;Geen oordeel;01;Ja;1995-09-28T00:00:00.000;1973-10-04T00:00:00.000;1973-10-04T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;20050928;2005-09-28T00:00:00.000;;;;;;;;;;;;;;;;;
00BA02;Personenauto;PEUGEOT;304 CABRIOLET S;19840501;Niet geregistreerd;BLAUW;Niet geregistreerd;4;900;1000;19731026;19731026;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;230;Nee;Nee;Nee;0;2019;Logisch;00;Ja;1984-05-01T00:00:00.000;1973-10-26T00:00:00.000;1973-10-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;20210805;2021-08-05T00:00:00.000;;;;;;;;;;;;;;;;;
00BA09;Personenauto;PEUGEOT;304 B02;19860224;Niet geregistreerd;BLAUW;Niet geregistreerd;4;900;1000;19740204;19740204;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;230;Nee;Nee;Nee;0;2022;Geen oordeel;01;Ja;1986-02-24T00:00:00.000;1974-02-04T00:00:00.000;1974-02-04T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;20240509;2024-05-09T00:00:00.000;;;;;;;;;;;;;;;;;
00BA10;Personenauto;PEUGEOT;304 B02;20200618;cabriolet;WIT;Niet geregistreerd;4;900;1000;19731026;19731026;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;230;Nee;Nee;Nee;0;2023;Geen oordeel;01;Ja;2020-06-18T00:00:00.000;1973-10-26T00:00:00.000;1973-10-26T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;20250103;2025-01-03T00:00:00.000;;;;;;;;;;;;;;;;;
00BA23;Personenauto;PEUGEOT;504 C12;19861027;Niet geregistreerd;GRIJS;Niet geregistreerd;4;1210;1310;19740103;19740103;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;255;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;1986-10-27T00:00:00.000;1974-01-03T00:00:00.000;1974-01-03T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
00BA26;Personenauto;PEUGEOT;504 B 12;20221227;Niet geregistreerd;BRUIN;Niet geregistreerd;4;1180;1280;19731114;19731114;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;255;Nee;Nee;Nee;0;2023;Geen oordeel;01;Ja;2022-12-27T00:00:00.000;1973-11-14T00:00:00.000;1973-11-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;20250202;2025-02-02T00:00:00.000;;;;;;;;;;;;;;;;;
00BA28;Personenauto;PEUGEOT;304;20161102;Niet geregistreerd;GRIJS;Niet geregistreerd;4;948;1048;19731126;19731126;Geen verstrekking in Open Data;Nee;2;4;;;;;M1;op r. voorwielscherm onder motorkap;;;0.00;230;Nee;Nee;Nee;;;Niet geregistreerd;NG;Ja;2016-11-02T00:00:00.000;1973-11-26T00:00:00.000;1973-11-26T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
