kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;plaats_chassisnummer;maximum_last_onder_de_vooras_sen_tezamen_koppeling;vervaldatum_apk;toegestane_maximum_massa_voertuig;laadvermogen;vervaldatum_apk_dt;aantal_zitplaatsen;cilinderinhoud;type_gasinstallatie;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;bruto_bpm;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid
0003VX;Personenauto;OPEL;MANTA;19930828;Niet geregistreerd;BRUIN;Niet geregistreerd;4;932;1032;19721128;19721128;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;244;Nee;Nee;Nee;0;1997;Geen oordeel;06;Ja;1993-08-28T00:00:00.000;1972-11-28T00:00:00.000;1972-11-28T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0008JK;Personenauto;OPEL;GT;20141030;Niet geregistreerd;Niet geregistreerd;Niet geregistreerd;4;930;1030;19690527;19690527;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;2019;Geen oordeel;01;Ja;2014-10-30T00:00:00.000;1969-05-27T00:00:00.000;1969-05-27T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0009PH;Personenauto;OPEL;MANTA;20110226;Niet geregistreerd;ROOD;Niet geregistreerd;4;914;1014;19701005;19701005;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;244;Nee;Nee;Nee;0;2020;Geen oordeel;01;Ja;2011-02-26T00:00:00.000;1970-10-05T00:00:00.000;1970-10-05T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0011JK;Personenauto;OPEL;GT;19870610;Niet geregistreerd;GRIJS;Niet geregistreerd;4;930;1030;19690605;19690605;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;1987-06-10T00:00:00.000;1969-06-05T00:00:00.000;1969-06-05T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0011UE;Personenauto;OPEL;KADETT;20150617;Niet geregistreerd;GEEL;Niet geregistreerd;4;788;888;19720505;19720505;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;242;Nee;Nee;Nee;0;2015;Geen oordeel;01;Ja;2015-06-17T00:00:00.000;1972-05-05T00:00:00.000;1972-05-05T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op slotplaat onder motorkap;0;;;;;;;;;;;;;;;;;;
0011VK;Personenauto;OPEL;MANTA;19820305;Niet geregistreerd;WIT;Niet geregistreerd;4;918;1018;19730323;19730323;Geen verstrekking in Open Data;Nee;2;4;;;;;M1;;;0.00;243;Nee;Nee;Nee;;;Niet geregistreerd;NG;Ja;1982-03-05T00:00:00.000;1973-03-23T00:00:00.000;1973-03-23T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;0;;;;;;;;;;;;;;;;;;
0013JK;Personenauto;OPEL;GT;19990306;Niet geregistreerd;BLAUW;Niet geregistreerd;4;930;1030;19690605;19690605;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;2020;Geen oordeel;01;Ja;1999-03-06T00:00:00.000;1969-06-05T00:00:00.000;1969-06-05T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0013PL;Personenauto;OPEL;MANTA;20090910;Niet geregistreerd;BLAUW;Niet geregistreerd;4;932;1032;19701216;19701216;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;244;Nee;Nee;Nee;0;2019;Geen oordeel;01;Ja;2009-09-10T00:00:00.000;1970-12-16T00:00:00.000;1970-12-16T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0013ZB;Bedrijfsauto;OPEL;L2276H;20000307;voor vervoer voertuigen;N.v.t.;N.v.t.;6;2285;2385;19730806;19730806;Geen verstrekking in Open Data;Nee;;4;;;;214;N1;3450;;0.03;375;Nee;Nee;Nee;;;Niet geregistreerd;NG;Ja;2000-03-07T00:00:00.000;1973-08-06T00:00:00.000;1973-08-06T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;tegen r. balk 034 cm v. 2e veerh.;0;20010306;3450;1165;2001-03-06T00:00:00.000;;;;;;;;;;;;;;
0015NN;Personenauto;OPEL;GT;19990820;Niet geregistreerd;BLAUW;Niet geregistreerd;4;940;1040;19700915;19700915;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;;;0.00;244;Nee;Nee;Nee;;2012;Logisch;00;Ja;1999-08-20T00:00:00.000;1970-09-15T00:00:00.000;1970-09-15T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op l. watergoot onder motorkap;0;;;;;;;;;;;;;;;;;;
0015NZ;Personenauto;OPEL;COMMODORE GS;20160109;Niet geregistreerd;GROEN;ZWART;6;1200;1300;19700811;19700811;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;267;Nee;Nee;Nee;0;2008;Geen oordeel;01;Ja;2016-01-09T00:00:00.000;1970-08-11T00:00:00.000;1970-08-11T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op slotplaat onder motorkap;;;;;;;;;;;;;;;;;;;
0017UP;Personenauto;OPEL;GT;19950510;Niet geregistreerd;ORANJE;Niet geregistreerd;4;930;1030;19720608;19720608;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;2013;Geen oordeel;01;Ja;1995-05-10T00:00:00.000;1972-06-08T00:00:00.000;1972-06-08T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;in watergoot onder motorkap;;;;;;;;;;;;;;;;;;;
0018UA;Personenauto;OPEL;MANTA;20221112;Niet geregistreerd;GROEN;Niet geregistreerd;4;932;1032;19720328;19720328;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;244;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;2022-11-12T00:00:00.000;1972-03-28T00:00:00.000;1972-03-28T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0021JK;Personenauto;OPEL;GT;19820616;Niet geregistreerd;ROOD;Niet geregistreerd;4;930;1030;19690612;19690612;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;2021;Geen oordeel;01;Ja;1982-06-16T00:00:00.000;1969-06-12T00:00:00.000;1969-06-12T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;in watergoot onder voorruit onder motorkap;;;;;;;;;;;;;;;;;;;
0022JK;Personenauto;OPEL;GT;20230102;Niet geregistreerd;GEEL;Niet geregistreerd;4;930;1030;19690612;19690612;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;2018;Geen oordeel;01;Ja;2023-01-02T00:00:00.000;1969-06-12T00:00:00.000;1969-06-12T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;onder voorruit in watergoot motorkap;;;;;;;;;;;;;;;;;;;
0023JK;Personenauto;OPEL;GT;20150520;coupe;ORANJE;Niet geregistreerd;4;930;1030;19690612;19690612;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1160;0;0.06;243;Nee;Nee;Nee;0;2018;Logisch;00;Ja;2015-05-20T00:00:00.000;1969-06-12T00:00:00.000;1969-06-12T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;in watergoot by motorruimte;;;1160;;;2;1897;;;;;;;;;;;;
0024VP;Personenauto;OPEL;GT;20170902;Niet geregistreerd;Niet geregistreerd;Niet geregistreerd;4;930;1030;19721025;19721025;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;2017-09-02T00:00:00.000;1972-10-25T00:00:00.000;1972-10-25T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0025PL;Personenauto;OPEL;MANTA AUTOMATIC;20160912;Niet geregistreerd;GROEN;Niet geregistreerd;4;1022;1122;19701216;19701216;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;244;Nee;Nee;Nee;0;2016;Geen oordeel;01;Ja;2016-09-12T00:00:00.000;1970-12-16T00:00:00.000;1970-12-16T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. in watergoot v. voorruit onder motorkap;0;;;;;;;;;;;;;;;;;;
0026NR;Personenauto;OPEL;GT;19931022;Niet geregistreerd;ORANJE;Niet geregistreerd;4;930;1030;19701102;19701102;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;2020;Geen oordeel;01;Ja;1993-10-22T00:00:00.000;1970-11-02T00:00:00.000;1970-11-02T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;onder voorruit in watergoot motorkap;0;;;;;;;;;;;;;;;;;;
0031PX;Personenauto;OPEL;COMMODORE SIX;20131109;Niet geregistreerd;GROEN;Niet geregistreerd;6;1120;1220;19711015;19711015;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;267;Nee;Nee;Nee;0;2020;Geen oordeel;01;Ja;2013-11-09T00:00:00.000;1971-10-15T00:00:00.000;1971-10-15T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0033JK;Personenauto;OPEL;GT;19810129;Niet geregistreerd;GROEN;Niet geregistreerd;4;930;1030;19690620;19690620;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;2019;Geen oordeel;01;Ja;1981-01-29T00:00:00.000;1969-06-20T00:00:00.000;1969-06-20T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0034JK;Personenauto;OPEL;GT;20100526;Niet geregistreerd;BLAUW;Niet geregistreerd;4;954;1054;19700114;19700114;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;2016;Geen oordeel;01;Ja;2010-05-26T00:00:00.000;1970-01-14T00:00:00.000;1970-01-14T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;onder voorruit in watergoot motorkap;0;;;;;;;G2 gasinstallatie;;;;;;;;;;;
0035PL;Personenauto;OPEL;MANTA;20120424;Niet geregistreerd;BRUIN;Niet geregistreerd;4;932;1032;19701217;19701217;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;244;Nee;Nee;Nee;0;2020;Geen oordeel;01;Ja;2012-04-24T00:00:00.000;1970-12-17T00:00:00.000;1970-12-17T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. onder motorkap;;;;;;;;;;;;;;;;;;;
0038VX;Personenauto;OPEL;GT;20080404;Niet geregistreerd;ROOD;Niet geregistreerd;4;930;1030;19721130;19721130;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;2021;Geen oordeel;01;Ja;2008-04-04T00:00:00.000;1972-11-30T00:00:00.000;1972-11-30T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;l. op schutbord onder motorkap;;;;;;;;;;;;;;;;;;;
0041VF;Personenauto;OPEL;MANTA;19760730;Niet geregistreerd;GEEL;Niet geregistreerd;4;958;1058;19710630;19730202;Geen verstrekking in Open Data;Nee;2;4;;;;;M1;;;0.00;243;Nee;Nee;Nee;;;Niet geregistreerd;NG;Ja;1976-07-30T00:00:00.000;1971-06-30T00:00:00.000;1973-02-02T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;in watergoot onder motorkap;0;;;;;;;;;;;;;;;;;;
0045UE;Personenauto;OPEL;KADETT;20140418;sedan;GEEL;Niet geregistreerd;4;740;840;19720531;19720531;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.04;242;Nee;Nee;Nee;0;2021;Geen oordeel;01;Ja;2014-04-18T00:00:00.000;1972-05-31T00:00:00.000;1972-05-31T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. slotplaat motorruimte;0;;;;;4;1078;;;;;;;;;;;;
0046JK;Personenauto;OPEL;GT;19790627;Niet geregistreerd;ROOD;Niet geregistreerd;4;930;1030;19690707;19690707;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;1979-06-27T00:00:00.000;1969-07-07T00:00:00.000;1969-07-07T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0046XE;Personenauto;OPEL;KADETT;20051121;Niet geregistreerd;ROOD;Niet geregistreerd;4;776;876;19730222;19730222;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;242;Nee;Nee;Nee;0;2022;Geen oordeel;01;Ja;2005-11-21T00:00:00.000;1973-02-22T00:00:00.000;1973-02-22T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op slotplaat onder motorkap;0;20240617;;;2024-06-17T00:00:00.000;;;G2 gasinstallatie;;;;;;;;;;;
0053NK;Personenauto;OPEL;COMMODORE GS;20190930;Niet geregistreerd;BRUIN;ZWART;6;1248;1348;19701105;19701105;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;267;Nee;Nee;Nee;0;2009;Geen oordeel;01;Ja;2019-09-30T00:00:00.000;1970-11-05T00:00:00.000;1970-11-05T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op slotplaat onder motorkap;0;;;;;;;;;;;;;;;;;;
0059UA;Personenauto;OPEL;MANTA;20211127;Niet geregistreerd;WIT;Niet geregistreerd;4;932;1032;19720328;19720328;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;244;Nee;Nee;Nee;0;2007;Geen oordeel;01;Ja;2021-11-27T00:00:00.000;1972-03-28T00:00:00.000;1972-03-28T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. in watergoot v. voorruit onder motorkap;0;;;;;;;;;;;;;;;;;;
0060EZ;Personenauto;OPEL;KADETT;19860107;Niet geregistreerd;WIT;Niet geregistreerd;4;784;884;19671205;19671205;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;242;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;1986-01-07T00:00:00.000;1967-12-05T00:00:00.000;1967-12-05T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0065BB;Bedrijfsauto;OPEL;K8266;19960320;kampeerwagen;N.v.t.;N.v.t.;4;2100;2200;19740814;19740814;Geen verstrekking in Open Data;Nee;;4;;;;208;N1;3500;;0.03;330;Nee;Nee;Nee;;2002;Logisch;00;Ja;1996-03-20T00:00:00.000;1974-08-14T00:00:00.000;1974-08-14T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;tegen r. balk 034 cm v. 2e veerh.;0;20030912;3500;1400;2003-09-12T00:00:00.000;;;;;;;;;;;;;;
0067UA;Personenauto;OPEL;MANTA;20200817;Niet geregistreerd;ZWART;GEEL;4;932;1032;19400630;19720407;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;244;Nee;Nee;Nee;0;2007;Geen oordeel;01;Ja;2020-08-17T00:00:00.000;1940-06-30T00:00:00.000;1972-04-07T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. in watergoot v. voorruit onder motorkap;;;;;;;;;;;;;;;;;;;
0068VX;Personenauto;OPEL;ADMIRAL;20190601;Niet geregistreerd;BLAUW;ZWART;6;1516;1616;19721214;19721214;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;0;0;0.00;285;Nee;Nee;Nee;0;2021;Geen oordeel;01;Ja;2019-06-01T00:00:00.000;1972-12-14T00:00:00.000;1972-12-14T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op slotplaat onder motorkap;0;;;;;;;;;;;;;;;;;;
0069PL;Personenauto;OPEL;MANTA;20130307;Niet geregistreerd;ORANJE;Niet geregistreerd;4;980;1080;19701218;19701218;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;244;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;2013-03-07T00:00:00.000;1970-12-18T00:00:00.000;1970-12-18T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. in watergoot onder voorruit onder motorkap;0;;;;;;;;;;;;;;;;;;
0073UP;Personenauto;OPEL;DIPLOMAT;20030328;Niet geregistreerd;BLAUW;Niet geregistreerd;8;1725;1825;19720616;19720616;Geen verstrekking in Open Data;Ja;4;4;;;;;M1;;;0.00;285;Nee;Nee;Nee;;2021;Logisch;00;Ja;2003-03-28T00:00:00.000;1972-06-16T00:00:00.000;1972-06-16T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op slotplaat onder motorkap;0;;;;;;;;;;;;;;;;;;
0076UP;Personenauto;OPEL;GT;20010227;Niet geregistreerd;ROOD;Niet geregistreerd;4;930;1030;19720619;19720619;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;2006;Geen oordeel;01;Ja;2001-02-27T00:00:00.000;1972-06-19T00:00:00.000;1972-06-19T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0079UP;Personenauto;OPEL;GT;19991217;Niet geregistreerd;ZWART;Niet geregistreerd;4;930;1030;19720622;19720622;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;2020;Geen oordeel;01;Ja;1999-12-17T00:00:00.000;1972-06-22T00:00:00.000;1972-06-22T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op voorruit in watergoot motorkap;;;;;;;;;;;;;;;;;;;
