kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;plaats_chassisnummer;maximum_last_onder_de_vooras_sen_tezamen_koppeling;vervaldatum_apk;toegestane_maximum_massa_voertuig;laadvermogen;vervaldatum_apk_dt;aantal_zitplaatsen;cilinderinhoud;type_gasinstallatie;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;bruto_bpm;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid
00HDB2;Personenauto;OPEL;AGILA;20221110;stationwagen;BLAUW;Niet geregistreerd;4;1015;1115;20081022;20081022;Geen verstrekking in Open Data;Ja;4;4;0;0;374;0;M1;1485;0;0.06;236;Nee;Nee;Nee;1685;2022;Logisch;00;Ja;2022-11-10T00:00:00.000;2008-10-22T00:00:00.000;2008-10-22T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op r. schroefveerkoker onder motorkap;;20230725;1485;;2023-07-25T00:00:00.000;5;1242;;200;200;3281;16628;H-B;e4*2001/116*0135*02;AB11;1A03A1ABCA5;0;C;
00HDH5;Personenauto;OPEL;CORSA;20140730;MPV;GRIJS;Niet geregistreerd;4;1065;1165;20081021;20081021;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1610;0;0.06;251;Nee;Nee;Nee;2640;2022;Logisch;00;Ja;2014-07-30T00:00:00.000;2008-10-21T00:00:00.000;2008-10-21T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op bodemplaat by r. voorzitting;;20231023;1610;;2023-10-23T00:00:00.000;5;1364;;500;1000;3876;18894;S-D;e1*2001/116*0379*07;FC11;1A10B7XFEC5;0;C;0.00
00HDK3;Personenauto;OPEL;ASTRA;20100901;hatchback;GRIJS;Niet geregistreerd;4;1170;1270;20081022;20081022;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;1765;0;0.07;261;Nee;Nee;Nee;3020;2022;Logisch;00;Ja;2010-09-01T00:00:00.000;2008-10-22T00:00:00.000;2008-10-22T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op bodemplaat by r. voorzitting;;20231022;1765;;2023-10-22T00:00:00.000;5;1598;;635;1200;5156;23777;A-H;e1*2001/116*0261*15;BS11;1A13ALEABN5;0;C;
00HDK4;Personenauto;OPEL;CORSA;20191209;MPV;ZWART;Niet geregistreerd;4;1059;1159;20081022;20081022;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;1605;0;0.05;251;Nee;Nee;Nee;2455;2022;Logisch;00;Ja;2019-12-09T00:00:00.000;2008-10-22T00:00:00.000;2008-10-22T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op bodemplaat by r. voorzitting;;20231219;1605;;2023-12-19T00:00:00.000;5;1229;;500;850;2782;16694;S-D;e1*2001/116*0379*08;KB11;1A16A77BDA5;0;B;0.00
00HDN3;Personenauto;OPEL;AGILA;20131108;stationwagen;BLAUW;Niet geregistreerd;4;965;1065;20081024;20081024;Geen verstrekking in Open Data;Ja;4;4;0;0;374;0;M1;1485;0;0.06;236;Nee;Nee;Nee;1685;2022;Geen oordeel;07;Ja;2013-11-08T00:00:00.000;2008-10-24T00:00:00.000;2008-10-24T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op r. schroefveerkoker onder motorkap;;20231108;1485;;2023-11-08T00:00:00.000;5;1242;;200;200;2231;14592;H-B;e4*2001/116*0135*02;AB11;1A02A1AABA5;0;B;
00HDR8;Personenauto;OPEL;AGILA;20221231;stationwagen;GRIJS;Niet geregistreerd;4;965;1065;20081024;20081024;Geen verstrekking in Open Data;Ja;4;4;0;0;374;0;M1;1485;0;0.06;236;Nee;Nee;Nee;1685;2022;Logisch;00;Ja;2022-12-31T00:00:00.000;2008-10-24T00:00:00.000;2008-10-24T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op r. schroefveerkoker onder motorkap;;20231024;1485;;2023-10-24T00:00:00.000;5;1242;;200;200;2231;14592;H-B;e4*2001/116*0135*02;AB11;1A02A1AABA5;0;B;
00HDX8;Personenauto;OPEL;ZAFIRA;20230103;MPV;ZWART;Niet geregistreerd;4;1500;1600;20081027;20081027;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;2210;0;0.06;270;Ja;Nee;Nee;3550;2023;Logisch;00;Nee;2023-01-03T00:00:00.000;2008-10-27T00:00:00.000;2008-10-27T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op bodemplaat by r. voorzitting;;20230311;2210;;2023-03-11T00:00:00.000;7;1686;;750;1400;9004;36061;A-H/MONOCAB;e1*2001/116*0325*07;DM11;2A09AE4DEA7;0;C;
00HFB8;Personenauto;OPEL;ASTRA GTC;20130110;coupe;GRIJS;Niet geregistreerd;4;1150;1250;20081027;20081027;Geen verstrekking in Open Data;Ja;2;4;0;0;429;0;M1;1745;0;0.07;261;Nee;Nee;Nee;3000;2022;Logisch;00;Ja;2013-01-10T00:00:00.000;2008-10-27T00:00:00.000;2008-10-27T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op bodemplaat by r. voorzitting;;20230602;1745;;2023-06-02T00:00:00.000;5;1598;;625;1200;6215;29784;A-H/C;e4*2001/116*0094*10;KT11;1A18AVEMKL5;0;B;
00HFF8;Personenauto;OPEL;ASTRA STATION WAGON;20131025;stationwagen;BLAUW;Niet geregistreerd;4;1215;1315;20081030;20081030;Geen verstrekking in Open Data;Ja;4;4;0;0;452;0;M1;1860;0;0.06;270;Nee;Nee;Nee;3000;2022;Logisch;00;Ja;2013-10-25T00:00:00.000;2008-10-30T00:00:00.000;2008-10-30T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op bodemplaat by r. voorzitting;;20231111;1860;;2023-11-11T00:00:00.000;5;1598;;657;1100;4462;23099;A-H/SW;e1*2001/116*0293*10;FS11;1A02A5EABN5;0;B;
00HFJ4;Personenauto;OPEL;AGILA;20230118;stationwagen;GRIJS;Niet geregistreerd;4;965;1065;20081031;20081031;Geen verstrekking in Open Data;Ja;4;4;0;0;374;0;M1;1485;0;0.06;236;Nee;Nee;Nee;1685;2023;Logisch;00;Ja;2023-01-18T00:00:00.000;2008-10-31T00:00:00.000;2008-10-31T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op r. schroefveerkoker onder motorkap;;20230901;1485;;2023-09-01T00:00:00.000;5;1242;;200;200;2231;14592;H-B;e4*2001/116*0135*02;AB11;1A02A1AABA5;0;B;
