kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;type_gasinstallatie
00KKD6;Personenauto;AUDI;AUDI Q5;20190105;20220907;stationwagen;GRIJS;Niet geregistreerd;4;1730;1830;20100105;20100105;Geen verstrekking in Open Data;Nee;4;4;0;0;0;0;M1;r. schroefveerkoker;2365;0;0.08;282;Nee;Nee;Nee;4445;2022;Niet geregistreerd;NG;Ja;2019-01-05T00:00:00.000;2022-09-07T00:00:00.000;2010-01-05T00:00:00.000;2010-01-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;14835;5;1984;2365;750;2000;66034;8R;e1*2001/116*0473*03;XCDNCQ1;QD7B5017R8R707MG;0;C;;;;;
00KKD7;Personenauto;AUDI;AUDI A3;20230704;20200815;stationwagen;ZWART;Niet geregistreerd;4;1295;1395;20100108;20100108;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. voorwielscherm;1880;0;0.06;258;Nee;Ja;Nee;3350;2022;Logisch;00;Ja;2023-07-04T00:00:00.000;2020-08-15T00:00:00.000;2010-01-08T00:00:00.000;2010-01-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;6716;5;1598;1880;690;1400;33837;8P;e1*2001/116*0217*26;SCAYCF1;FM5A4051R8P607MGEM1;0;B;;;;;
00KKP2;Personenauto;AUDI;AUDI A4;20231115;20140117;stationwagen;ZWART;Niet geregistreerd;4;1525;1625;20100111;20100111;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;2120;0;0.07;282;Nee;Nee;Nee;3690;2023;Logisch;00;Ja;2023-11-15T00:00:00.000;2014-01-17T00:00:00.000;2010-01-11T00:00:00.000;2010-01-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;10962;5;1798;2120;750;1500;55485;B8;e1*2001/116*0430*14;ACDHBQ1;QM6B2012R8K607MGEM0;0;C;0.00;;;;
00KLF2;Personenauto;AUDI;AUDI A4;20231017;20180418;sedan;ZWART;Niet geregistreerd;4;1385;1485;20100108;20100108;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;1960;0;0.08;282;Nee;Nee;Nee;3330;2022;Logisch;00;Ja;2023-10-17T00:00:00.000;2018-04-18T00:00:00.000;2010-01-08T00:00:00.000;2010-01-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;7968;5;1798;1960;740;1300;41072;B8;e1*2001/116*0430*13;LCDHBF1;FM6B1001R8K607MGEM0;0;B;;;;;
00KLF3;Personenauto;AUDI;AUDI Q5;20240212;20140807;stationwagen;GRIJS;Niet geregistreerd;4;1730;1830;20100104;20100104;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;2365;0;0.08;282;Nee;Nee;Nee;4445;2023;Logisch;00;Ja;2024-02-12T00:00:00.000;2014-08-07T00:00:00.000;2010-01-04T00:00:00.000;2010-01-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;15533;5;1984;2365;750;2000;70085;8R;e1*2001/116*0473*03;XCDNCQ1;QD7B5017R8R707MG;0;C;;;;;
00KLF7;Personenauto;AUDI;AUDI A4;20240110;20211108;sedan;GRIJS;Niet geregistreerd;6;1570;1670;20110905;20110905;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;op r. schroefveerkoker onder motorkap;2145;0;0.08;282;Nee;Nee;Nee;3915;2022;Logisch;00;Ja;2024-01-10T00:00:00.000;2021-11-08T00:00:00.000;2011-09-05T00:00:00.000;2011-09-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;14976;5;2698;2145;750;1700;;;e1*2001/116*0430*04;LCAMAF1;FAVW0010R8K61;0;E;;;;;
00KNF7;Personenauto;AUDI;AUDI A6;20240130;20160414;sedan;GRIJS;Niet geregistreerd;4;1525;1625;20100105;20100105;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schutbord;2130;0;0.08;286;Nee;Nee;Nee;3690;2023;Logisch;00;Ja;2024-01-30T00:00:00.000;2016-04-14T00:00:00.000;2010-01-05T00:00:00.000;2010-01-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;12779;5;1984;2130;750;1500;66029;4F;e1*2001/116*0254*22;LBPJF1;FAV1J004R4F60S57MG;0;B;0.00;;;;
00KPL3;Personenauto;AUDI;AUDI A3;20230318;20171017;stationwagen;GRIJS;Niet geregistreerd;4;1270;1370;20100111;20100111;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. voorwielscherm;1855;0;0.07;258;Nee;Nee;Nee;3125;2022;Logisch;00;Ja;2023-03-18T00:00:00.000;2017-10-17T00:00:00.000;2010-01-11T00:00:00.000;2010-01-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;6322;5;1390;1855;680;1200;35831;8P;e1*2001/116*0217*26;SCAXCF1;FM6AJ008R8P607MGEM1;0;B;;;;;
00KPL6;Personenauto;AUDI;AUDI A5 CABRIOLET;20231108;20191108;cabriolet;ZWART;Niet geregistreerd;4;1630;1730;20100129;20100129;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. schroefveerkoker;2155;0;0.08;276;Nee;Nee;Nee;3705;2022;Logisch;00;Ja;2023-11-08T00:00:00.000;2019-11-08T00:00:00.000;2010-01-29T00:00:00.000;2010-01-29T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;13001;4;1984;2155;750;1500;65609;B8;e1*2001/116*0430*12;KCDNBF1;FAVW0030R8F607MGEM0;0;C;0.00;;;;
00KPV7;Personenauto;AUDI;AUDI A4;20230913;20100114;stationwagen;GRIJS;Niet geregistreerd;4;1445;1545;20100114;20100114;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;2040;0;0.06;282;Nee;Nee;Nee;3410;2022;Logisch;00;Ja;2023-09-13T00:00:00.000;2010-01-14T00:00:00.000;2010-01-14T00:00:00.000;2010-01-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;8021;5;1798;2040;750;1300;39739;B8;e1*2001/116*0430*14;ACDHAF1;FM6B1001R8K607MGEM0;0;B;;;;;
00KPZ6;Personenauto;AUDI;AUDI A5;20240115;20110317;hatchback;GRIJS;Niet geregistreerd;4;1475;1575;20100115;20100115;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;2030;0;0.08;282;Nee;Nee;Nee;3560;2022;Logisch;00;Ja;2024-01-15T00:00:00.000;2011-03-17T00:00:00.000;2010-01-15T00:00:00.000;2010-01-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;8967;4;1984;2030;750;1500;47306;B8;e1*2001/116*0430*14;SCDNBF1;FM6B1004R8S607MGEM1;0;A;;;;;
00KPZ7;Personenauto;AUDI;AUDI A6;20240121;20160121;sedan;GRIJS;Niet geregistreerd;4;1525;1625;20100120;20100120;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schutbord;2130;0;0.08;286;Nee;Nee;Nee;3690;2022;Geen oordeel;07;Ja;2024-01-21T00:00:00.000;2016-01-21T00:00:00.000;2010-01-20T00:00:00.000;2010-01-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;8977;5;1984;2130;750;1500;43371;4F;e1*2001/116*0254*22;LBPJF1;FAV1J004R4F60S57MG;0;B;0.00;;;;
00KRV2;Personenauto;AUDI;AUDI A4;20230827;20220822;stationwagen;ZWART;Niet geregistreerd;4;1445;1545;20080827;20100120;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;op r. schroefveerkoker onder motorkap;2040;0;0.08;282;Nee;Nee;Nee;3410;2022;Geen oordeel;05;Ja;2023-08-27T00:00:00.000;2022-08-22T00:00:00.000;2008-08-27T00:00:00.000;2010-01-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;3418;5;1798;2040;750;1300;;B8;e1*2001/116*0430*07;ACDHBF1;FM6B1001R8K607MB;0;B;;;;;
00KSZ5;Personenauto;AUDI;AUDI A3;20230826;20110902;stationwagen;WIT;Niet geregistreerd;4;1270;1370;20100407;20100407;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. voorwielscherm;1855;0;0.07;258;Nee;Nee;Nee;3125;2022;Geen oordeel;07;Ja;2023-08-26T00:00:00.000;2011-09-02T00:00:00.000;2010-04-07T00:00:00.000;2010-04-07T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5013;5;1390;1855;680;1200;28835;8P;e1*2001/116*0217*25;SCAXCF1;FM6AJ008R8P607MGEM1;0;B;;;;;
00KTJ6;Personenauto;AUDI;AUDI A3;20231011;20171205;stationwagen;ZWART;Niet geregistreerd;4;1285;1385;20100208;20100208;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. voorwielscherm;1870;0;0.07;258;Nee;Nee;Nee;3140;2022;Logisch;00;Ja;2023-10-11T00:00:00.000;2017-12-05T00:00:00.000;2010-02-08T00:00:00.000;2010-02-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;6460;5;1390;1870;690;1200;37603;8P;e1*2001/116*0217*26;SCAXCF1;FD7AM006R8P607MGEM1;0;A;0.00;;;;
00KTT2;Personenauto;AUDI;AUDI Q5;20230430;20190319;stationwagen;GRIJS;Niet geregistreerd;4;1730;1830;20100211;20100211;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;2365;0;0.08;282;Nee;Nee;Nee;4445;2022;Logisch;00;Ja;2023-04-30T00:00:00.000;2019-03-19T00:00:00.000;2010-02-11T00:00:00.000;2010-02-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;14332;5;1984;2365;750;2000;62531;8R;e1*2001/116*0473*03;XCDNCQ1;QD7B5017R8R707MG;0;C;;;;;
00KVG9;Personenauto;AUDI;AUDI A4;20240219;20190919;sedan;ZWART;Niet geregistreerd;4;1385;1485;20100217;20100217;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;1960;0;0.06;282;Nee;Nee;Nee;3330;2023;Logisch;00;Ja;2024-02-19T00:00:00.000;2019-09-19T00:00:00.000;2010-02-17T00:00:00.000;2010-02-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;7478;5;1798;1960;740;1300;37576;B8;e1*2001/116*0430*15;LCDHAF1;FM6B1001R8K607MGEM0;0;B;;;;;
