kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;vervaldatum_apk;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;vervaldatum_apk_dt;catalogusprijs;zuinigheidsclassificatie;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;maximum_last_onder_de_vooras_sen_tezamen_koppeling;type;maximum_ondersteunende_snelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;hoogte_voertuig;type_gasinstallatie;maximale_constructiesnelheid
18LZF7;Personenauto;PORSCHE;CAYENNE S;20190621;stationwagen;ZWART;Niet geregistreerd;8;2040;2140;20100507;20100720;Geen verstrekking in Open Data;Ja;4;4;0;0;485;0;M1;r. bodemplaat by voorzitting;2840;0;0.14;290;Nee;Nee;Nee;6340;Geen oordeel;05;Ja;2019-06-21T00:00:00.000;2010-05-07T00:00:00.000;2010-07-20T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230522;24819;5;4806;2840;e13*2007/46*1085*00;EB22;02;0;2022;2023-05-22T00:00:00.000;143677;E;750;3500;;92A;0.00;;;;;
18NDB5;Personenauto;PORSCHE;CAYENNE S;20220304;stationwagen;ZWART;Niet geregistreerd;8;2040;2140;20100716;20100810;Geen verstrekking in Open Data;Ja;4;4;0;0;485;0;M1;r. bodemplaat by voorzitting;2840;0;0.14;290;Nee;Nee;Nee;6340;Logisch;00;Ja;2022-03-04T00:00:00.000;2010-07-16T00:00:00.000;2010-08-10T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230726;29105;5;4806;2840;e13*2007/46*1085*02;EB22;02;0;2022;2023-07-26T00:00:00.000;115202;E;750;3500;;92A;0.00;;;;;
18NLH5;Personenauto;PORSCHE;PANAMERA 4S;20211028;hatchback;ZWART;Niet geregistreerd;8;1835;1935;20090914;20101004;Geen verstrekking in Open Data;Ja;4;4;0;0;497;0;M1;r. onder voorzitting;2440;0;0.15;292;Nee;Ja;Nee;4640;Geen oordeel;05;Ja;2021-10-28T00:00:00.000;2009-09-14T00:00:00.000;2010-10-04T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230803;33444;4;4806;2440;e13*2007/46*0970*00;GB22;03;0;2022;2023-08-03T00:00:00.000;;D;750;2200;;970;;;;;;
18NRHG;Personenauto;PORSCHE;CAYENNE TURBO;20190119;stationwagen;ZWART;Niet geregistreerd;8;2330;2430;20040108;20040108;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. in kofferruimte by reservewiel;3080;0;0.14;286;Nee;Nee;Nee;6580;Logisch;00;Ja;2019-01-19T00:00:00.000;2004-01-08T00:00:00.000;2004-01-08T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230616;42034;5;4511;3080;e13*2001/116*0089*02;EB22;01;0;2022;2023-06-16T00:00:00.000;;G;750;3500;;;;;;;;
18NSDV;Personenauto;PORSCHE;911 TURBO 3.6 E2;20040121;coupe;ZWART;Niet geregistreerd;6;1423;1523;19940211;20040121;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. op randprofiel boven vooras in kofferruimte;1810;0;0.17;227;Nee;Nee;Nee;0;Geen oordeel;05;Ja;2004-01-21T00:00:00.000;1994-02-11T00:00:00.000;2004-01-21T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240208;41932;;3600;1810;;;;;2023;2024-02-08T00:00:00.000;;;;;;;;;;;;
18PBJF;Personenauto;PORSCHE;911 CARRERA 2;20171215;cabriolet;ZWART;Niet geregistreerd;6;1455;1555;20020926;20040426;Geen verstrekking in Open Data;Ja;2;4;0;0;443;0;M1;r. op schutbord onder motorkap;1910;0;0.15;235;Nee;Nee;Nee;0;Geen oordeel;05;Ja;2017-12-15T00:00:00.000;2002-09-26T00:00:00.000;2004-04-26T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20231020;37290;4;3596;1910;e13*98/14*0031*11;KF12;01;0;2022;2023-10-20T00:00:00.000;;G;;;;;;;;;;
18PBL6;Personenauto;PORSCHE;CAYENNE S;20220709;stationwagen;ZWART;Niet geregistreerd;8;2040;2140;20110103;20110103;Geen verstrekking in Open Data;Ja;4;4;0;0;485;0;M1;r. bodemplaat by voorzitting;2840;1;0.14;290;Nee;Nee;Nee;6340;Logisch;00;Ja;2022-07-09T00:00:00.000;2011-01-03T00:00:00.000;2011-01-03T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20231013;33125;5;4806;2840;e13*2007/46*1085*02;EB22;02;0;2022;2023-10-13T00:00:00.000;136775;E;750;3500;;92A;0.00;;;;;
18PBP9;Personenauto;PORSCHE;911 CARRERA;20171124;coupe;ZWART;Niet geregistreerd;6;1420;1520;20110117;20110117;Geen verstrekking in Open Data;Ja;2;4;0;0;444;0;M1;r. schutbord by kofferruimte;1850;0;0.17;235;Nee;Nee;Nee;0;Geen oordeel;07;Ja;2017-11-24T00:00:00.000;2011-01-17T00:00:00.000;2011-01-17T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20231120;30209;4;3614;1850;e13*2001/116*0137*14;CD12;05;0;2022;2023-11-20T00:00:00.000;134577;G;;;;997;;;;;;
18RKPD;Personenauto;PORSCHE;986;20210506;cabriolet;ZWART;Niet geregistreerd;6;1275;1375;19970228;20050509;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. tegen schutbord in kofferruimte;1610;1;0.00;242;Nee;Nee;Nee;0;Geen oordeel;07;Ja;2021-05-06T00:00:00.000;1997-02-28T00:00:00.000;2005-05-09T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230519;19338;;;1610;e13*95/54*0020*00;KA12;KA12;0;2022;2023-05-19T00:00:00.000;;;;;;;;;;;;
18RNHK;Personenauto;PORSCHE;911 CARRERA;20220921;cabriolet;ZWART;Niet geregistreerd;6;1495;1595;20050530;20050611;Geen verstrekking in Open Data;Ja;2;4;0;0;443;0;M1;r. tegen schutbord in kofferruimte;1920;0;0.15;235;Nee;Nee;Nee;0;Logisch;00;Ja;2022-09-21T00:00:00.000;2005-05-30T00:00:00.000;2005-06-11T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230820;36105;4;3596;1920;e13*2001/116*0137*01;KA12;01;0;2022;2023-08-20T00:00:00.000;;G;;;;;;;;;;
