kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_last_onder_de_vooras_sen_tezamen_koppeling;maximum_ondersteunende_snelheid;type_gasinstallatie;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd
00GBD4;Personenauto;HYUNDAI;I 10;20230811;20220812;1215;MPV;5;BLAUW;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080628;20080628;Geen verstrekking in Open Data;10660;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-08-11T00:00:00.000;2022-08-12T00:00:00.000;2008-06-28T00:00:00.000;2008-06-28T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GBD5;Personenauto;HYUNDAI;I 10;20240204;20190201;647;MPV;5;ROOD;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080530;20080530;Geen verstrekking in Open Data;8494;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2023;Logisch;00;Ja;2024-02-04T00:00:00.000;2019-02-01T00:00:00.000;2008-05-30T00:00:00.000;2008-05-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GBR6;Personenauto;HYUNDAI;I 30;20240125;20180716;3665;MPV;5;GRIJS;Niet geregistreerd;4;1591;1168;1720;1268;550;1200;20080530;20080530;Geen verstrekking in Open Data;20005;Ja;4;4;0;0;425;0;M1;op dwarsbalk by r. voorzitting;1720;FD;e11*2001/116*0313*06;B5P61;M52AZ1;0;0.07;265;Nee;Nee;Nee;2920;0;2022;Logisch;00;Ja;2024-01-25T00:00:00.000;2018-07-16T00:00:00.000;2008-05-30T00:00:00.000;2008-05-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GBR7;Personenauto;HYUNDAI;TUCSON;20240109;20130111;6058;MPV;5;ZWART;Niet geregistreerd;4;1975;1437;2050;1537;500;1400;20080527;20080527;Geen verstrekking in Open Data;26034;Ja;4;4;0;0;433;0;M1;r. op dwarsbalk onder voorzitting;2050;;e4*2001/116*0087*09;ADZ;V;0;0.07;263;Nee;Nee;Nee;3450;0;2023;Logisch;00;Ja;2024-01-09T00:00:00.000;2013-01-11T00:00:00.000;2008-05-27T00:00:00.000;2008-05-27T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GDG3;Personenauto;HYUNDAI;COUPE;20240102;20191123;6829;sedan;4;ZWART;Niet geregistreerd;6;2656;1308;1740;1408;550;1400;20030708;20080613;Geen verstrekking in Open Data;;Ja;2;4;0;0;440;0;M1;midden tegen schutbord onder motorkap;1740;;e11*98/14*0186*00;F1;Z;0;0.09;253;Nee;Nee;Nee;3140;0;2023;Geen oordeel;05;Ja;2024-01-02T00:00:00.000;2019-11-23T00:00:00.000;2003-07-08T00:00:00.000;2008-06-13T00:00:00.000;G;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;
00GDH7;Personenauto;HYUNDAI;I 10;20230530;20140424;753;MPV;5;BLAUW;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080530;20080530;Geen verstrekking in Open Data;8899;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-05-30T00:00:00.000;2014-04-24T00:00:00.000;2008-05-30T00:00:00.000;2008-05-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GDP3;Personenauto;HYUNDAI;I 10;20240222;20221224;963;MPV;5;BLAUW;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080530;20080530;Geen verstrekking in Open Data;9699;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2023;Logisch;00;Ja;2024-02-22T00:00:00.000;2022-12-24T00:00:00.000;2008-05-30T00:00:00.000;2008-05-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GDV3;Personenauto;HYUNDAI;I 10;20240313;20220601;743;MPV;5;BLAUW;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080531;20080531;Geen verstrekking in Open Data;8859;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2023;Logisch;00;Ja;2024-03-13T00:00:00.000;2022-06-01T00:00:00.000;2008-05-31T00:00:00.000;2008-05-31T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GFG5;Personenauto;HYUNDAI;I 30CW;20230917;20220916;3873;MPV;5;ZWART;Niet geregistreerd;4;1591;1211;1820;1311;550;1200;20080604;20080604;Geen verstrekking in Open Data;20795;Ja;4;4;0;0;448;0;M1;op dwarsbalk by r. voorzitting;1820;FD;e11*2001/116*0313*06;F5P61;M52AZ1;0;0.07;270;Nee;Ja;Nee;3020;0;2022;Logisch;00;Ja;2023-09-17T00:00:00.000;2022-09-16T00:00:00.000;2008-06-04T00:00:00.000;2008-06-04T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GFN7;Personenauto;HYUNDAI;TUCSON;20240104;20181201;9544;MPV;5;GRIJS;Niet geregistreerd;6;2656;1568;2190;1668;750;1600;20080612;20080612;Geen verstrekking in Open Data;35530;Ja;4;4;0;0;433;0;M1;r. op dwarsbalk onder voorzitting;2190;;e4*2001/116*0087*09;BFZ;U;0;0.08;263;Nee;Nee;Nee;3790;0;2023;Logisch;00;Ja;2024-01-04T00:00:00.000;2018-12-01T00:00:00.000;2008-06-12T00:00:00.000;2008-06-12T00:00:00.000;F;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GFT8;Personenauto;HYUNDAI;TUCSON;20230918;20201128;9544;MPV;5;GRIJS;Niet geregistreerd;6;2656;1568;2190;1668;750;1600;20080614;20080614;Geen verstrekking in Open Data;35530;Ja;4;4;0;0;433;0;M1;r. op dwarsbalk onder voorzitting;2190;;e4*2001/116*0087*09;BFZ;U;0;0.08;263;Nee;Nee;Nee;3790;0;2022;Logisch;00;Ja;2023-09-18T00:00:00.000;2020-11-28T00:00:00.000;2008-06-14T00:00:00.000;2008-06-14T00:00:00.000;F;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GFZ4;Personenauto;HYUNDAI;I 10;20230620;20170429;953;MPV;5;GRIJS;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080620;20080620;Geen verstrekking in Open Data;9660;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-06-20T00:00:00.000;2017-04-29T00:00:00.000;2008-06-20T00:00:00.000;2008-06-20T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GGF1;Personenauto;HYUNDAI;I 10;20231003;20210610;953;MPV;5;BEIGE;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080613;20080613;Geen verstrekking in Open Data;9660;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-10-03T00:00:00.000;2021-06-10T00:00:00.000;2008-06-13T00:00:00.000;2008-06-13T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GHH1;Personenauto;HYUNDAI;I 10;20231220;20161223;963;MPV;5;BLAUW;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080627;20080627;Geen verstrekking in Open Data;9699;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-12-20T00:00:00.000;2016-12-23T00:00:00.000;2008-06-27T00:00:00.000;2008-06-27T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GHR1;Personenauto;HYUNDAI;I 10;20240213;20120209;1029;MPV;5;ZWART;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080630;20080630;Geen verstrekking in Open Data;9949;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2023;Logisch;00;Ja;2024-02-13T00:00:00.000;2012-02-09T00:00:00.000;2008-06-30T00:00:00.000;2008-06-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GHX9;Personenauto;HYUNDAI;I 10;20230620;20131003;1215;MPV;5;GRIJS;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080628;20080628;Geen verstrekking in Open Data;10660;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-06-20T00:00:00.000;2013-10-03T00:00:00.000;2008-06-28T00:00:00.000;2008-06-28T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GJG1;Personenauto;HYUNDAI;I 10;20230716;20220707;1215;MPV;5;GRIJS;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080630;20080630;Geen verstrekking in Open Data;10660;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-07-16T00:00:00.000;2022-07-07T00:00:00.000;2008-06-30T00:00:00.000;2008-06-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GJG2;Personenauto;HYUNDAI;SANTA FE;20230627;20160623;13046;MPV;7;ZWART;Niet geregistreerd;6;2656;1795;2495;1895;750;2000;20080627;20080627;Geen verstrekking in Open Data;45364;Ja;4;4;0;0;0;0;M1;r. tegen schutbord onder motorkap;2495;;e11*2001/116*0270*01;F7P14;A41AZ1;0;0.07;270;Nee;Nee;Nee;4495;0;2022;Logisch;00;Ja;2023-06-27T00:00:00.000;2016-06-23T00:00:00.000;2008-06-27T00:00:00.000;2008-06-27T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GJP1;Personenauto;HYUNDAI;I 10;20230805;20110805;2031;MPV;5;GRIJS;Niet geregistreerd;4;1086;930;1430;1030;;700;20080630;20080630;Geen verstrekking in Open Data;11805;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1430;PA;e4*2001/116*0131*00;F5P11;A41CZ1;0;0.05;238;Nee;Nee;Nee;2130;0;2022;Logisch;00;Ja;2023-08-05T00:00:00.000;2011-08-05T00:00:00.000;2008-06-30T00:00:00.000;2008-06-30T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GJP2;Personenauto;HYUNDAI;I 10;20230610;20220628;1215;MPV;5;GRIJS;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080630;20080630;Geen verstrekking in Open Data;10660;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-06-10T00:00:00.000;2022-06-28T00:00:00.000;2008-06-30T00:00:00.000;2008-06-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GJP3;Personenauto;HYUNDAI;I 10;20230630;20180814;1215;MPV;5;GRIJS;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080630;20080630;Geen verstrekking in Open Data;10660;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-06-30T00:00:00.000;2018-08-14T00:00:00.000;2008-06-30T00:00:00.000;2008-06-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GJP4;Personenauto;HYUNDAI;I 10;20230901;20200903;1029;MPV;5;ZWART;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080628;20080628;Geen verstrekking in Open Data;9949;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-09-01T00:00:00.000;2020-09-03T00:00:00.000;2008-06-28T00:00:00.000;2008-06-28T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GJP5;Personenauto;HYUNDAI;I 10;20230916;20211108;963;MPV;5;ZWART;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080630;20080630;Geen verstrekking in Open Data;9699;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-09-16T00:00:00.000;2021-11-08T00:00:00.000;2008-06-30T00:00:00.000;2008-06-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GJP6;Personenauto;HYUNDAI;TUCSON;20231201;20161203;5927;MPV;5;ZWART;Niet geregistreerd;4;1975;1437;2050;1537;500;1400;20080630;20080630;Geen verstrekking in Open Data;25535;Ja;4;4;0;0;433;0;M1;r. op dwarsbalk onder voorzitting;2050;;e4*2001/116*0087*08;ADZ;V;0;0.07;263;Nee;Nee;Nee;3450;0;2023;Logisch;00;Ja;2023-12-01T00:00:00.000;2016-12-03T00:00:00.000;2008-06-30T00:00:00.000;2008-06-30T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GJT7;Personenauto;HYUNDAI;ACCENT;20230509;20190511;3344;MPV;5;GRIJS;Niet geregistreerd;4;1399;1077;1600;1177;453;700;20080702;20080702;Geen verstrekking in Open Data;15685;Ja;2;4;0;0;405;0;M1;op dwarsbalk onder r. voorzitting;1600;;e4*2001/116*0103*01;FG1;A1;0;0.06;250;Nee;Nee;Nee;2300;0;2022;Logisch;00;Ja;2023-05-09T00:00:00.000;2019-05-11T00:00:00.000;2008-07-02T00:00:00.000;2008-07-02T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GJT8;Personenauto;HYUNDAI;MATRIX;20230827;20210828;3887;MPV;5;BLAUW;Niet geregistreerd;4;1599;1223;1800;1323;550;1300;20080630;20080630;Geen verstrekking in Open Data;17754;Ja;4;4;0;0;405;0;M1;r. tegen schutbord onder motorkap;1800;;e4*2001/116*0126*00;F5P11;M51AZ1;0;0.06;260;Nee;Nee;Nee;3100;0;2022;Logisch;00;Ja;2023-08-27T00:00:00.000;2021-08-28T00:00:00.000;2008-06-30T00:00:00.000;2008-06-30T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GJX8;Personenauto;HYUNDAI;I 10;20230719;20180720;2228;MPV;5;GRIJS;Niet geregistreerd;4;1086;930;1430;1030;;700;20080708;20080708;Geen verstrekking in Open Data;12554;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1430;PA;e4*2001/116*0131*00;F5P11;A41CZ1;0;0.05;238;Nee;Nee;Nee;2130;0;2022;Logisch;00;Ja;2023-07-19T00:00:00.000;2018-07-20T00:00:00.000;2008-07-08T00:00:00.000;2008-07-08T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GKF6;Personenauto;HYUNDAI;GETZ;20230508;20121023;2320;MPV;5;BLAUW;Niet geregistreerd;4;1399;1000;1510;1100;450;1000;20080716;20080716;Geen verstrekking in Open Data;12904;Ja;4;4;0;0;383;0;M1;r. op dwarsbalk by voorzitting;1510;;e4*2001/116*0123*00;F5P21;M52AZ1;0;0.06;246;Nee;Nee;Nee;2510;0;2022;Logisch;00;Ja;2023-05-08T00:00:00.000;2012-10-23T00:00:00.000;2008-07-16T00:00:00.000;2008-07-16T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GLD1;Personenauto;HYUNDAI;TRAJET;20230527;20221129;6688;MPV;7;ZWART;Niet geregistreerd;4;1975;1731;2410;1831;700;1800;20080715;20080715;Geen verstrekking in Open Data;28434;Ja;4;4;0;0;470;0;M1;r. onder motorkap tegen voorwielscherm;2410;;e11*98/14*0130*07;L;C;0;0.06;283;Ja;Nee;Nee;3750;0;2022;Logisch;00;Nee;2023-05-27T00:00:00.000;2022-11-29T00:00:00.000;2008-07-15T00:00:00.000;2008-07-15T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GLF9;Personenauto;HYUNDAI;GETZ;20230729;20190209;2850;hatchback;5;BLAUW;Niet geregistreerd;4;1399;1030;1540;1130;450;900;20080716;20080716;Geen verstrekking in Open Data;13799;Ja;2;4;0;0;383;0;M1;r. op dwarsbalk by voorzitting;1540;;e4*98/14*0066*11;E2;UVM;0;0.06;246;Nee;Nee;Nee;2440;0;2022;Logisch;00;Ja;2023-07-29T00:00:00.000;2019-02-09T00:00:00.000;2008-07-16T00:00:00.000;2008-07-16T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GNB2;Personenauto;HYUNDAI;I 30;20231119;20170826;4974;MPV;5;BLAUW;Niet geregistreerd;4;1582;1266;1820;1366;550;1400;20080827;20080827;Geen verstrekking in Open Data;22604;Ja;4;4;0;0;425;0;M1;op dwarsbalk by r. voorzitting;1820;FD;e11*2001/116*0313*06;B5D31;M54AZ1;0;0.06;265;Nee;Ja;Nee;3220;0;2022;Logisch;00;Ja;2023-11-19T00:00:00.000;2017-08-26T00:00:00.000;2008-08-27T00:00:00.000;2008-08-27T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GNG3;Personenauto;HYUNDAI;I 10;20230514;20120512;953;MPV;5;GRIJS;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080731;20080731;Geen verstrekking in Open Data;9660;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Geen oordeel;07;Ja;2023-05-14T00:00:00.000;2012-05-12T00:00:00.000;2008-07-31T00:00:00.000;2008-07-31T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
