kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_last_onder_de_vooras_sen_tezamen_koppeling;maximum_ondersteunende_snelheid;type_gasinstallatie;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd
00LLS9;Personenauto;HYUNDAI;IX35;20230815;20190329;7861;MPV;5;WIT;Niet geregistreerd;4;1998;1372;1980;1472;736;1600;20100525;20100525;Geen verstrekking in Open Data;31790;Ja;4;4;0;0;441;0;M1;by voorzitting r.;1980;EL;e11*2007/46*0104*00;F5P11;A61BZ1;0;0.08;264;Nee;Nee;Nee;3580;0;2022;Logisch;00;Ja;2023-08-15T00:00:00.000;2019-03-29T00:00:00.000;2010-05-25T00:00:00.000;2010-05-25T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;0.00;;;;
00LLX8;Personenauto;HYUNDAI;IX35;20230831;20170915;7861;MPV;5;WIT;Niet geregistreerd;4;1998;1372;1980;1472;736;1600;20100528;20100528;Geen verstrekking in Open Data;31790;Ja;4;4;0;0;441;0;M1;by voorzitting r.;1980;EL;e11*2007/46*0104*01;F5P11;A61BZ1;0;0.08;264;Nee;Nee;Nee;3580;0;2022;Logisch;00;Ja;2023-08-31T00:00:00.000;2017-09-15T00:00:00.000;2010-05-28T00:00:00.000;2010-05-28T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;0.00;;;;
00LNG1;Personenauto;HYUNDAI;I 10;20230529;20200520;549;MPV;5;GRIJS;Niet geregistreerd;4;1086;900;1405;1000;400;700;20100529;20100529;Geen verstrekking in Open Data;10460;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*03;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-05-29T00:00:00.000;2020-05-20T00:00:00.000;2010-05-29T00:00:00.000;2010-05-29T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00LNK6;Personenauto;HYUNDAI;I 10;20230920;20220726;549;MPV;5;GRIJS;Niet geregistreerd;4;1086;900;1405;1000;400;700;20100529;20100529;Geen verstrekking in Open Data;10460;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*03;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-09-20T00:00:00.000;2022-07-26T00:00:00.000;2010-05-29T00:00:00.000;2010-05-29T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00LNP7;Personenauto;HYUNDAI;I20;20230602;20200802;2240;MPV;5;BLAUW;Niet geregistreerd;4;1396;1010;1565;1110;450;1000;20100531;20100531;Geen verstrekking in Open Data;14170;Ja;4;4;0;0;394;0;M1;r. dwarsbalk by voorzitting;1565;PB;e11*2001/116*0333*02;F5P21;M52AZ1;0;0.07;253;Nee;Nee;Nee;2565;0;2022;Logisch;00;Ja;2023-06-02T00:00:00.000;2020-08-02T00:00:00.000;2010-05-31T00:00:00.000;2010-05-31T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00LNX4;Personenauto;HYUNDAI;I 10;20230720;20100720;557;MPV;5;ZWART;Niet geregistreerd;4;1086;900;1405;1000;400;700;20100720;20100720;Geen verstrekking in Open Data;10500;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*03;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2023;Logisch;00;Ja;2023-07-20T00:00:00.000;2010-07-20T00:00:00.000;2010-07-20T00:00:00.000;2010-07-20T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00LPD3;Personenauto;HYUNDAI;I 10;20231208;20161209;6;MPV;5;ROOD;Niet geregistreerd;4;1086;900;1405;1000;400;700;20100630;20100630;Geen verstrekking in Open Data;8295;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*04;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-12-08T00:00:00.000;2016-12-09T00:00:00.000;2010-06-30T00:00:00.000;2010-06-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00LPD4;Personenauto;HYUNDAI;I 10;20230903;20181106;231;MPV;5;BLAUW;Niet geregistreerd;4;1086;900;1405;1000;400;700;20100630;20100630;Geen verstrekking in Open Data;9500;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*04;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-09-03T00:00:00.000;2018-11-06T00:00:00.000;2010-06-30T00:00:00.000;2010-06-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00LPD5;Personenauto;HYUNDAI;I 10;20240204;20200304;;MPV;5;WIT;Niet geregistreerd;4;1086;900;1405;1000;400;700;20100624;20100624;Geen verstrekking in Open Data;7595;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*04;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2023;Logisch;00;Ja;2024-02-04T00:00:00.000;2020-03-04T00:00:00.000;2010-06-24T00:00:00.000;2010-06-24T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00LPD6;Personenauto;HYUNDAI;IX35;20231220;20211220;7963;MPV;5;ZWART;Niet geregistreerd;4;1998;1372;1980;1472;736;1600;20100603;20100603;Geen verstrekking in Open Data;32335;Ja;4;4;0;0;441;0;M1;by voorzitting r.;1980;EL;e11*2007/46*0104*01;F5P11;A61BZ1;0;0.08;264;Nee;Nee;Nee;3580;0;2022;Logisch;00;Ja;2023-12-20T00:00:00.000;2021-12-20T00:00:00.000;2010-06-03T00:00:00.000;2010-06-03T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;0.00;;;;
