kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;plaats_chassisnummer;maximum_last_onder_de_vooras_sen_tezamen_koppeling;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;hoogte_voertuig
0002ZA;Personenauto;FERRARI;DINO 246 GT COUPE;20240421;20110817;Niet geregistreerd;ROOD;Niet geregistreerd;6;1160;1260;19730613;19730613;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;234;Nee;Nee;Nee;0;2022;Geen oordeel;01;Ja;2024-04-21T00:00:00.000;2011-08-17T00:00:00.000;1973-06-13T00:00:00.000;1973-06-13T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;
0036XA;Personenauto;FERRARI;DINO 246 GT SPIDER;20240615;20040826;Niet geregistreerd;GRIJS;Niet geregistreerd;6;1185;1285;19730227;19730227;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;234;Nee;Nee;Nee;0;2022;Geen oordeel;01;Ja;2024-06-15T00:00:00.000;2004-08-26T00:00:00.000;1973-02-27T00:00:00.000;1973-02-27T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;
00HFZ3;Personenauto;FERRARI;348 TB U9;20180602;20081031;coupe;ROOD;Niet geregistreerd;8;1460;1560;19900606;20081031;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1650;0;0.14;245;Nee;Nee;Nee;0;2017;Geen oordeel;05;Ja;2018-06-02T00:00:00.000;2008-10-31T00:00:00.000;1990-06-06T00:00:00.000;2008-10-31T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;32077;2;3405;1650;op r. balk onder motorkap;0;;;;;;;;;;;;
00RR11;Personenauto;FERRARI;DINO 308 GT 4;19990314;20230121;Niet geregistreerd;BLAUW;Niet geregistreerd;8;1270;1370;19770429;19770429;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;255;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;1999-03-14T00:00:00.000;2023-01-21T00:00:00.000;1977-04-29T00:00:00.000;1977-04-29T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;op r. balk onder motorkap;;;;;;;;;;;;;
00RXL3;Personenauto;FERRARI;CALIFORNIA;20230712;20150416;cabriolet;GRIJS;Niet geregistreerd;8;1775;1875;20110405;20110809;Geen verstrekking in Open Data;Ja;2;4;0;0;456;0;M1;2200;1;0.18;267;Nee;Ja;Nee;0;2022;Geen oordeel;05;Ja;2023-07-12T00:00:00.000;2015-04-16T00:00:00.000;2011-04-05T00:00:00.000;2011-08-09T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;43334;4;4297;2200;by achterzitting r.;;252221;F 149;e3*2001/116*0285*03;BD;EL;0;G;;;;;
00TLV6;Personenauto;FERRARI;360 MODENA;20230521;20210529;coupe;ROOD;Niet geregistreerd;8;1375;1475;20000118;20120227;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;1720;;0.20;260;Nee;Nee;Nee;;2022;Geen oordeel;05;Ja;2023-05-21T00:00:00.000;2021-05-29T00:00:00.000;2000-01-18T00:00:00.000;2012-02-27T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;43641;2;3586;1720;r. bodemplaat a. voorzitting;0;;;;;;;;;;;;
01HHHD;Personenauto;FERRARI;TESTAROSSA U9;20240113;20010807;coupe;ROOD;Niet geregistreerd;12;1700;1800;19910726;20010807;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1840;0;0.16;255;Nee;Nee;Nee;0;2021;Geen oordeel;05;Ja;2024-01-13T00:00:00.000;2001-08-07T00:00:00.000;1991-07-26T00:00:00.000;2001-08-07T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;12389;;4943;1840;op r. balk onder motorkap;;;;;;;;;;;;;
01PDNG;Personenauto;FERRARI;348 TS U9;20070613;20060623;coupe;ROOD;Niet geregistreerd;8;1480;1580;19920224;20040528;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1680;0;0.00;245;Nee;Nee;Nee;0;2006;Geen oordeel;05;Ja;2007-06-13T00:00:00.000;2006-06-23T00:00:00.000;1992-02-24T00:00:00.000;2004-05-28T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;35861;;3405;1680;op r. balk onder motorkap;0;;;;;;;;;;;;
01RTFS;Personenauto;FERRARI;360;20230319;20230114;coupe;GRIJS;Niet geregistreerd;8;1375;1475;20040726;20050817;Geen verstrekking in Open Data;Ja;2;4;0;0;448;0;M1;1720;0;0.20;260;Nee;Nee;Nee;0;2023;Geen oordeel;05;Ja;2023-03-19T00:00:00.000;2023-01-14T00:00:00.000;2004-07-26T00:00:00.000;2005-08-17T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;48840;2;3586;1720;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*06;AB;E;0;G;;;;;
01SHG9;Personenauto;FERRARI;CALIFORNIA;20221004;20110930;cabriolet;ROOD;Niet geregistreerd;8;1775;1875;20110930;20110930;Geen verstrekking in Open Data;Ja;2;4;0;0;456;0;M1;2200;1;0.18;267;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2022-10-04T00:00:00.000;2011-09-30T00:00:00.000;2011-09-30T00:00:00.000;2011-09-30T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;54880;4;4297;2200;by achterzitting r.;;263156;F 149;e3*2001/116*0285*03;BD;EL;0;G;;;;;
01YB83;Personenauto;FERRARI;308GTB;20241020;20040709;coupe;ROOD;Niet geregistreerd;8;1270;1370;19760915;20040709;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.14;234;Nee;Nee;Nee;0;2022;Geen oordeel;01;Ja;2024-10-20T00:00:00.000;2004-07-09T00:00:00.000;1976-09-15T00:00:00.000;2004-07-09T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;op r. balk onder motorkap;0;;;;;;;;;;;;
01ZBJF;Personenauto;FERRARI;599;20230624;20210702;coupe;WIT;Niet geregistreerd;12;1680;1780;20071201;20071201;Geen verstrekking in Open Data;Ja;2;4;0;0;467;0;M1;2000;0;0.26;275;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2023-06-24T00:00:00.000;2021-07-02T00:00:00.000;2007-12-01T00:00:00.000;2007-12-01T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;100436;2;5999;2000;op dwarsbalk a. r. voorzitting;;367489;;e3*2001/116*0227*02;AB;E;0;G;;;;;
01ZFKZ;Personenauto;FERRARI;430;20230805;20220803;cabriolet;ZWART;Niet geregistreerd;8;1565;1665;20080115;20080115;Geen verstrekking in Open Data;Nee;2;4;0;0;451;0;M1;1790;2;0.21;260;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2023-08-05T00:00:00.000;2022-08-03T00:00:00.000;2008-01-15T00:00:00.000;2008-01-15T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;80792;2;4308;1790;op bodemplaat onder r. voorzitting;;;;e3*2001/116*0043*08;ED;E;0;G;;;;;
01ZHD3;Personenauto;FERRARI;458;20230630;20221007;coupe;ROOD;Niet geregistreerd;8;1490;1590;20110630;20121106;Geen verstrekking in Open Data;Ja;2;4;0;0;453;0;M1;1785;0;0.26;265;Ja;Ja;Nee;0;2022;Geen oordeel;05;Nee;2023-06-30T00:00:00.000;2022-10-07T00:00:00.000;2011-06-30T00:00:00.000;2012-11-06T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;70422;2;4497;1785;r. dwarsbalk onder voorzitting;0;270193;F 142;e3*2007/46*0040*00;AB;E;0;G;;;;;
02GXJZ;Personenauto;FERRARI;348 TB E2;20240513;20210421;coupe;ROOD;Niet geregistreerd;8;1460;1560;19920513;20010510;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1680;0;0.14;245;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2024-05-13T00:00:00.000;2021-04-21T00:00:00.000;1992-05-13T00:00:00.000;2001-05-10T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;36361;;3405;1680;op r. balk onder motorkap;;;;;;;;;;;;;
02KZB5;Personenauto;FERRARI;CALIFORNIA;20231112;20190614;cabriolet;ZWART;Niet geregistreerd;8;1775;1875;20100311;20100311;Geen verstrekking in Open Data;Ja;2;4;0;0;456;0;M1;2200;0;0.18;267;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2023-11-12T00:00:00.000;2019-06-14T00:00:00.000;2010-03-11T00:00:00.000;2010-03-11T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;65223;4;4297;2200;by achterzitting r.;;258225;F 149;e3*2001/116*0285*00;BD;EL;0;G;;;;;
02LHZB;Personenauto;FERRARI;360;20230426;20190607;coupe;GEEL;Niet geregistreerd;8;1375;1475;20030121;20030121;Geen verstrekking in Open Data;Ja;2;4;0;0;448;0;M1;1720;0;0.20;260;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2023-04-26T00:00:00.000;2019-06-07T00:00:00.000;2003-01-21T00:00:00.000;2003-01-21T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;48924;2;3586;1720;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*05;AB;M;0;G;;;;;
02LRD2;Personenauto;FERRARI;599;20230804;20230123;coupe;ZWART;Niet geregistreerd;12;1680;1780;20070502;20100607;Geen verstrekking in Open Data;Ja;2;4;0;0;467;0;M1;2000;0;0.26;275;Nee;Nee;Nee;0;2023;Geen oordeel;05;Ja;2023-08-04T00:00:00.000;2023-01-23T00:00:00.000;2007-05-02T00:00:00.000;2010-06-07T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;90979;2;5999;2000;op dwarsbalk a. r. voorzitting;;;;e3*2001/116*0227*01;AB;E;0;G;;;;;
02RDL7;Personenauto;FERRARI;CALIFORNIA;20230503;20110503;cabriolet;ROOD;Niet geregistreerd;8;1775;1875;20110503;20110503;Geen verstrekking in Open Data;Ja;2;4;0;0;456;0;M1;2200;1;0.18;267;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2023-05-03T00:00:00.000;2011-05-03T00:00:00.000;2011-05-03T00:00:00.000;2011-05-03T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;54696;4;4297;2200;by achterzitting r.;;261823;F 149;e3*2001/116*0285*03;BD;EL;0;G;;;;;
02SGB7;Personenauto;FERRARI;N/A;20231124;20220618;coupe;ZWART;Niet geregistreerd;12;1855;1955;20110923;20110923;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;2320;0;0.25;299;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2023-11-24T00:00:00.000;2022-06-18T00:00:00.000;2011-09-23T00:00:00.000;2011-09-23T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;111257;4;6262;2320;r. by achterzitting;;407135;F151;e24*KS07/46*0025*01;AL;E;0;G;;;;;
02SRF3;Personenauto;FERRARI;348 TB;20200409;20111109;coupe;BLAUW;Niet geregistreerd;8;1400;1500;19910701;20111109;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;1620;;0.15;245;Nee;Nee;Nee;;2019;Geen oordeel;05;Ja;2020-04-09T00:00:00.000;2011-11-09T00:00:00.000;1991-07-01T00:00:00.000;2011-11-09T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;2;3405;1620;r. balk motorruimte;0;;;;;;;;;;;;
02TDRS;Personenauto;FERRARI;360;20231017;20060719;cabriolet;ROOD;Niet geregistreerd;8;1425;1525;20030630;20060719;Geen verstrekking in Open Data;Ja;2;4;0;0;448;0;M1;1730;0;0.19;260;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2023-10-17T00:00:00.000;2006-07-19T00:00:00.000;2003-06-30T00:00:00.000;2006-07-19T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;54918;2;3586;1730;r. op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*06;AD;M;0;G;;;;;
02XXD8;Personenauto;FERRARI;F40;20241210;20130122;coupe;ROOD;Niet geregistreerd;8;1205;1305;19900507;20130122;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;1430;;0.27;244;Nee;Nee;Nee;;2022;Geen oordeel;05;Ja;2024-12-10T00:00:00.000;2013-01-22T00:00:00.000;1990-05-07T00:00:00.000;2013-01-22T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;2;2936;1430;r. by kofferruimte;0;;;;;;;;;;;;
02YD66;Personenauto;FERRARI;DINO 246 GT SPIDER;20241120;20211230;cabriolet;ROOD;Niet geregistreerd;6;1185;1285;19740219;20140716;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.11;234;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2024-11-20T00:00:00.000;2021-12-30T00:00:00.000;1974-02-19T00:00:00.000;2014-07-16T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;2;2418;;op l. balk in motorruimte;0;;;;;;;;;;;;
02YE36;Personenauto;FERRARI;365 GT4 BB;20241205;20221219;coupe;GEEL;Niet geregistreerd;12;1469;1569;19740630;20221212;Geen verstrekking in Open Data;Nee;2;4;;;;;M1;;;0.18;250;Nee;Nee;Nee;;2022;Geen oordeel;05;Ja;2024-12-05T00:00:00.000;2022-12-19T00:00:00.000;1974-06-30T00:00:00.000;2022-12-12T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;2;4391;;;;;;;;;;;20221205;2022-12-05T00:00:00.000;;;
02YE40;Personenauto;FERRARI;308 GTB;;20221213;coupe;ROOD;Niet geregistreerd;8;1270;1370;19770101;20221213;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;;;0.12;234;Nee;Nee;Nee;;2022;Geen oordeel;05;Ja;;2022-12-13T00:00:00.000;1977-01-01T00:00:00.000;2022-12-13T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;2;2927;;;;;;;;;;;20221201;2022-12-01T00:00:00.000;;;
02ZHKD;Personenauto;FERRARI;430;20230425;20160326;cabriolet;GEEL;Niet geregistreerd;8;1495;1595;20050721;20080206;Geen verstrekking in Open Data;Ja;2;4;0;0;451;0;M1;1720;0;0.22;260;Nee;Ja;Nee;0;2022;Geen oordeel;05;Ja;2023-04-25T00:00:00.000;2016-03-26T00:00:00.000;2005-07-21T00:00:00.000;2008-02-06T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;59977;2;4308;1720;op bodemplaat onder r. voorzitting;;;;e3*2001/116*0043*08;ED;E;0;G;;;;;
03HVS1;Personenauto;FERRARI;328 GTS;20240901;20170711;cabriolet;ROOD;Niet geregistreerd;8;1290;1390;19880415;20090403;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;1560;;0.14;234;Nee;Nee;Nee;1560;2022;Geen oordeel;05;Ja;2024-09-01T00:00:00.000;2017-07-11T00:00:00.000;1988-04-15T00:00:00.000;2009-04-03T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;2;3186;1560;op r. balk onder motorkap;0;;;;;;;;;;;;
03HZB9;Personenauto;FERRARI;456;20180917;20110930;coupe;BLAUW;Niet geregistreerd;12;1825;1925;19990707;20090330;Geen verstrekking in Open Data;Ja;2;4;0;0;476;0;M1;2240;0;0.17;260;Nee;Nee;Nee;0;2017;Geen oordeel;05;Ja;2018-09-17T00:00:00.000;2011-09-30T00:00:00.000;1999-07-07T00:00:00.000;2009-03-30T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;64800;4;5474;2240;op r. balk onder motorkap;;;;e3*96/79*0037*00;CL;CL;0;;;;;;
03HZD3;Personenauto;FERRARI;CHALLENGE;20150820;20180309;coupe;BLAUW;Niet geregistreerd;8;1265;1365;20040801;20090324;Geen verstrekking in Open Data;Nee;2;4;0;0;448;0;M1;1720;0;0.22;260;Nee;Nee;Nee;0;2021;Geen oordeel;05;Ja;2015-08-20T00:00:00.000;2018-03-09T00:00:00.000;2004-08-01T00:00:00.000;2009-03-24T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;56680;2;3586;1720;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*07;AB;C;0;G;;;;;
03JSJN;Personenauto;FERRARI;F 355;20230527;20160729;cabriolet;BLAUW;Niet geregistreerd;8;1465;1565;19970630;20020727;Geen verstrekking in Open Data;Ja;2;4;0;0;425;0;M1;1700;0;0.00;245;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2023-05-27T00:00:00.000;2016-07-29T00:00:00.000;1997-06-30T00:00:00.000;2002-07-27T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;44586;2;3496;1700;op r. balk onder motorkap;0;;;e3*96/79*0035*00;AD;AD;0;;;;;;
03SVBR;Personenauto;FERRARI;360;20231029;20200903;cabriolet;ROOD;Niet geregistreerd;8;1425;1525;20010705;20060503;Geen verstrekking in Open Data;Ja;2;4;0;0;448;0;M1;1730;1;0.19;260;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2023-10-29T00:00:00.000;2020-09-03T00:00:00.000;2001-07-05T00:00:00.000;2006-05-03T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;25823;2;3586;1730;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*04;AD;M;0;G;;;;;
03XSG5;Personenauto;FERRARI;CALIFORNIA;20221013;20200806;cabriolet;ZWART;Niet geregistreerd;8;1775;1875;20120720;20120720;Geen verstrekking in Open Data;Ja;2;4;0;0;456;0;M1;2200;0;0.19;267;Nee;Ja;Nee;0;2021;Logisch;00;Ja;2022-10-13T00:00:00.000;2020-08-06T00:00:00.000;2012-07-20T00:00:00.000;2012-07-20T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;51282;4;4297;2200;by achterzitting r.;;263234;F 149;e3*2001/116*0285*05;CD;EL;0;G;;;;;
03YA05;Personenauto;FERRARI;DINO 308 GT 4;20120525;20150303;Niet geregistreerd;ROOD;Niet geregistreerd;8;1270;1370;19750630;19950109;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;255;Nee;Nee;Nee;0;2015;Geen oordeel;01;Ja;2012-05-25T00:00:00.000;2015-03-03T00:00:00.000;1975-06-30T00:00:00.000;1995-01-09T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;r. op dwarsbalk onder motorkap;;;;;;;;;;;;;
