kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;plaats_chassisnummer;maximum_last_onder_de_vooras_sen_tezamen_koppeling;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;hoogte_voertuig
71TTPF;Personenauto;FERRARI;456;20230401;20210827;coupe;GROEN;Niet geregistreerd;12;1905;2005;19990121;20070126;Geen verstrekking in Open Data;Ja;2;4;0;0;476;0;M1;2330;0;0.16;260;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2023-04-01T00:00:00.000;2021-08-27T00:00:00.000;1999-01-21T00:00:00.000;2007-01-26T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;76039;4;5474;2330;op r. balk onder motorkap;;;;e3*96/79*0037*00;CL;A;0;;;;;;
71XBD7;Personenauto;FERRARI;CALIFORNIA;20230624;20190327;cabriolet;GRIJS;Niet geregistreerd;8;1775;1875;20120510;20120510;Geen verstrekking in Open Data;Ja;2;4;0;0;456;0;M1;2200;0;0.19;267;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2023-06-24T00:00:00.000;2019-03-27T00:00:00.000;2012-05-10T00:00:00.000;2012-05-10T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;50152;4;4297;2200;by achterzitting r.;;251934;F 149;e3*2001/116*0285*05;CD;EL;0;G;;;;;
71XJJ2;Personenauto;FERRARI;F355 BERLINETTA;20220222;20211101;coupe;ROOD;Niet geregistreerd;8;1425;1525;19980529;20120612;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;1700;;0.18;245;Nee;Nee;Nee;;2021;Geen oordeel;05;Ja;2022-02-22T00:00:00.000;2021-11-01T00:00:00.000;1998-05-29T00:00:00.000;2012-06-12T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;45469;2;3496;1700;r. motorruimte;0;;;;;;;;;;;;
72GFLS;Personenauto;FERRARI;F 133;20230331;20210217;coupe;ZWART;Niet geregistreerd;12;1665;1765;19990521;20001009;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1950;1;0.00;249;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2023-03-31T00:00:00.000;2021-02-17T00:00:00.000;1999-05-21T00:00:00.000;2000-10-09T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;69736;;;1950;op r. balk onder motorkap;;;;e3*95/54*0010*00;AB;M;0;;;;0.00;;
72LTJ9;Personenauto;FERRARI;CALIFORNIA;20230324;20130911;cabriolet;GRIJS;Niet geregistreerd;8;1775;1875;20100702;20100702;Geen verstrekking in Open Data;Ja;2;4;0;0;456;0;M1;2200;0;0.18;267;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2023-03-24T00:00:00.000;2013-09-11T00:00:00.000;2010-07-02T00:00:00.000;2010-07-02T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;68342;4;4297;2200;by achterzitting r.;;219000;F 149;e3*2001/116*0285*00;BD;EL;0;G;;;;;
72NZFX;Personenauto;FERRARI;360;20210320;20120414;cabriolet;ZWART;Niet geregistreerd;8;1425;1525;20020326;20040329;Geen verstrekking in Open Data;Ja;2;4;0;0;448;0;M1;1730;1;0.19;260;Nee;Nee;Nee;0;2020;Geen oordeel;05;Ja;2021-03-20T00:00:00.000;2012-04-14T00:00:00.000;2002-03-26T00:00:00.000;2004-03-29T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;55460;2;3586;1730;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*04;AD;E;0;G;;;;;
72RHXX;Personenauto;FERRARI;430;20230507;20170302;coupe;ROOD;Niet geregistreerd;8;1425;1525;20050413;20050413;Geen verstrekking in Open Data;Ja;2;4;0;0;451;0;M1;1720;0;0.23;260;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2023-05-07T00:00:00.000;2017-03-02T00:00:00.000;2005-04-13T00:00:00.000;2005-04-13T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;54870;2;4308;1720;op bodemplaat onder r. voorzitting;;;;e3*2001/116*0043*08;EB;E;0;G;;;;;
72TGDN;Personenauto;FERRARI;430;20230713;20100602;cabriolet;ROOD;Niet geregistreerd;8;1495;1595;20060221;20060816;Geen verstrekking in Open Data;Ja;2;4;0;0;451;0;M1;1720;0;0.22;260;Nee;Ja;Nee;0;2022;Geen oordeel;05;Ja;2023-07-13T00:00:00.000;2010-06-02T00:00:00.000;2006-02-21T00:00:00.000;2006-08-16T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;64359;2;4308;1720;op bodemplaat onder r. voorzitting;;;;e3*2001/116*0043*08;ED;E;0;G;;;;;
72TSFT;Personenauto;FERRARI;430;20240113;20070113;coupe;GRIJS;Niet geregistreerd;8;1425;1525;20070113;20070113;Geen verstrekking in Open Data;Ja;2;4;0;0;451;0;M1;1720;0;0.23;260;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2024-01-13T00:00:00.000;2007-01-13T00:00:00.000;2007-01-13T00:00:00.000;2007-01-13T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;68217;2;4308;1720;op bodemplaat onder r. voorzitting;;250447;;e3*2001/116*0043*08;EB;E;0;G;;;;;
72TZZ1;Personenauto;FERRARI;430;20230507;20120505;cabriolet;ROOD;Niet geregistreerd;8;1495;1595;20061206;20120505;Geen verstrekking in Open Data;Ja;2;4;0;0;451;0;M1;1720;2;0.22;260;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2023-05-07T00:00:00.000;2012-05-05T00:00:00.000;2006-12-06T00:00:00.000;2012-05-05T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;72868;2;4308;1720;op bodemplaat onder r. voorzitting;0;;;e3*2001/116*0043*08;ED;E;0;G;;;;;
