kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;aantal_zitplaatsen;cilinderinhoud;maximum_trekken_massa_geremd;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;vervaldatum_apk;vervaldatum_apk_dt;bruto_bpm;toegestane_maximum_massa_voertuig;maximum_massa_trekken_ongeremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;zuinigheidsclassificatie;type_gasinstallatie;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt
03FRGF;Personenauto;CITROEN;XANTIA;20110323;hatchback;BLAUW;Niet geregistreerd;4;1261;1361;20000602;20000602;Geen verstrekking in Open Data;Nee;4;4;M1;r. in watergoot onder motorkap;0.06;274;Nee;Nee;Nee;2010;Logisch;00;Nee;2011-03-23T00:00:00.000;2000-06-02T00:00:00.000;2000-06-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1761;1500;0;0;452;0;1810;1;2980;20110217;2011-02-17T00:00:00.000;5326;1810;680;;;e2*98/14*0118*03;X1LFYM;X1LFYM;0;;;;;
03FVHL;Personenauto;CITROEN;XANTIA;20190313;hatchback;BLAUW;Niet geregistreerd;4;1239;1339;20000728;20000728;Geen verstrekking in Open Data;Ja;4;4;M1;r. in watergoot onder motorkap;0.06;274;Nee;Nee;Nee;2022;Logisch;00;Ja;2019-03-13T00:00:00.000;2000-07-28T00:00:00.000;2000-07-28T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1761;1500;0;0;452;0;1770;1;2960;20230313;2023-03-13T00:00:00.000;4546;1770;665;;;e2*98/14*0118*03;X1LFYF;X1LFYF;0;;;;;
03GBGT;Personenauto;CITROEN;XSARA;20200130;hatchback;BLAUW;Niet geregistreerd;4;1043;1143;20000908;20000908;Geen verstrekking in Open Data;Ja;2;4;M1;r. in watergoot onder motorkap;0.06;254;Nee;Nee;Nee;2022;Logisch;00;Ja;2020-01-30T00:00:00.000;2000-09-08T00:00:00.000;2000-09-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1587;1100;0;0;417;0;1590;1;2590;20230226;2023-02-26T00:00:00.000;3304;1590;570;;;e2*98/14*0105*03;N0NFZF;N0NFZF;0;;;;;
03GGG3;Personenauto;CITROEN;CITROEN C1;20230102;hatchback;BLAUW;Niet geregistreerd;3;780;880;20080619;20080619;Geen verstrekking in Open Data;Ja;4;4;M1;r. op bodemplaat by voorzitting;0.06;234;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-01-02T00:00:00.000;2008-06-19T00:00:00.000;2008-06-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;4;998;;0;0;344;0;1190;0;0;20230729;2023-07-29T00:00:00.000;338;1190;;9338;P;e11*2001/116*0238*05;NCFA;C;0;;A;;;
03GGJ6;Personenauto;CITROEN;C5;20160811;stationwagen;BLAUW;Niet geregistreerd;4;1594;1694;20080620;20080620;Geen verstrekking in Open Data;Ja;4;4;M1;r. in watergoot onder motorkap;0.06;282;Nee;Nee;Nee;2022;Logisch;00;Ja;2016-08-11T00:00:00.000;2008-06-20T00:00:00.000;2008-06-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1997;1800;0;0;483;0;2224;0;3724;20230810;2023-08-10T00:00:00.000;9493;2224;750;39184;R;e2*2001/116*0360*01;WRFJ;F;0;0.00;D;;;
03GJLX;Personenauto;CITROEN;XANTIA;20140618;hatchback;BLAUW;Niet geregistreerd;4;1295;1395;20001201;20001201;Geen verstrekking in Open Data;Ja;4;4;M1;r. in watergoot onder motorkap;0.07;274;Nee;Nee;Nee;2022;Logisch;00;Ja;2014-06-18T00:00:00.000;2000-12-01T00:00:00.000;2000-12-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1998;1500;0;0;452;0;1840;1;3130;20231128;2023-11-28T00:00:00.000;5239;1840;695;;;e2*98/14*0120*03;X1RFVF;X1RFVF;0;;;;;
03GJS2;Personenauto;CITROEN;C4;20210407;hatchback;BLAUW;Niet geregistreerd;4;1157;1257;20080710;20080710;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;0.05;261;Nee;Nee;Nee;2022;Logisch;00;Ja;2021-04-07T00:00:00.000;2008-07-10T00:00:00.000;2008-07-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1360;1561;0;0;426;0;1702;0;2902;20230402;2023-04-02T00:00:00.000;3456;1702;628;19259;;e2*2001/116*0302*06;CKFU;C;0;0.00;B;;;
03GLK7;Personenauto;CITROEN;CITROEN C1;20220621;hatchback;BLAUW;Niet geregistreerd;3;780;880;20080723;20080723;Geen verstrekking in Open Data;Ja;4;4;M1;r. op bodemplaat by voorzitting;0.06;234;Nee;Ja;Nee;2022;Logisch;00;Ja;2022-06-21T00:00:00.000;2008-07-23T00:00:00.000;2008-07-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;4;998;;0;0;344;0;1190;0;0;20230723;2023-07-23T00:00:00.000;613;1190;;10389;P;e11*2001/116*0238*05;NCFA;C;0;;A;;;
03GLS5;Personenauto;CITROEN;CITROEN C1;20201229;hatchback;BLAUW;Niet geregistreerd;3;815;915;20080725;20080725;Geen verstrekking in Open Data;Ja;4;4;M1;r. op bodemplaat by voorzitting;0.05;234;Nee;Nee;Nee;2022;Logisch;00;Ja;2020-12-29T00:00:00.000;2008-07-25T00:00:00.000;2008-07-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;4;998;;0;0;344;0;1190;0;0;20230725;2023-07-25T00:00:00.000;797;1190;;11089;P;e11*2001/116*0238*05;NCFA;C/P;0;;A;;;
03GNTD;Personenauto;CITROEN;SAXO;20211211;hatchback;BLAUW;Niet geregistreerd;4;780;880;20010123;20010123;Geen verstrekking in Open Data;Ja;2;4;M1;midden op schutbord onder motorkap;0.05;239;Nee;Nee;Nee;2022;Logisch;00;Ja;2021-12-11T00:00:00.000;2001-01-23T00:00:00.000;2001-01-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1124;600;0;0;0;0;1310;0;1910;20230320;2023-03-20T00:00:00.000;1777;1310;440;;;e2*98/14*0207*00;S0HFXB;S0HFXB;0;0.00;C;;;
