kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;type_gasinstallatie;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;vervaldatum_apk;vervaldatum_apk_dt;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging
01GVNX;Personenauto;BMW;3ER REIHE;20220423;sedan;ZWART;Niet geregistreerd;6;1365;1465;20010404;20010404;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.09;273;Nee;Nee;Nee;2022;Logisch;00;Ja;2022-04-23T00:00:00.000;2001-04-04T00:00:00.000;2001-04-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;447;0;1890;1;3565;20230421;2023-04-21T00:00:00.000;9376;5;2171;1890;720;1600;;;e1*98/14*0097*08;AV11;01;0;D;;;;;;
01GVV1;Personenauto;BMW;3ER REIHE;20130622;sedan;ZWART;Niet geregistreerd;4;1335;1435;20080919;20080919;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.07;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2013-06-22T00:00:00.000;2008-09-19T00:00:00.000;2008-09-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1880;0;3205;20230930;2023-09-30T00:00:00.000;6806;5;1995;1880;695;1250;33948;390L;e1*2001/116*0308*08;VF51;AA;0;A;;;;;;
01GXHD;Personenauto;BMW;3ER REIHE;20171006;coupe;GRIJS;Niet geregistreerd;6;1394;1494;20010412;20010412;Geen verstrekking in Open Data;Ja;2;4;M1;r. op schroefveerkoker onder motorkap;;0.10;273;Nee;Nee;Nee;2022;Logisch;00;Ja;2017-10-06T00:00:00.000;2001-04-12T00:00:00.000;2001-04-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;449;;1785;;3260;20230524;2023-05-24T00:00:00.000;8787;5;2793;1785;680;1400;;;;;;;C;;;20220406;2022-04-06T00:00:00.000;;
01GXJX;Personenauto;BMW;Z3;20010517;cabriolet;ZWART;Niet geregistreerd;4;1150;1250;19960624;20010427;Geen verstrekking in Open Data;Ja;2;4;M1;midden tegen schutbord onder motorkap;;0.00;245;Nee;Nee;Nee;2022;Geen oordeel;05;Ja;2001-05-17T00:00:00.000;1996-06-24T00:00:00.000;2001-04-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;1425;1;0;20230905;2023-09-05T00:00:00.000;9695;;;1425;;;;;e1*93/81*0029*00;CH71;1;0;;0.00;;;;;
01GXP9;Personenauto;BMW;3ER REIHE;20081004;coupe;BLAUW;Niet geregistreerd;4;1365;1465;20081004;20081004;Geen verstrekking in Open Data;Ja;2;4;M1;op r. schroefveerkoker onder motorkap;;0.09;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2008-10-04T00:00:00.000;2008-10-04T00:00:00.000;2008-10-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;458;0;1840;0;3415;20231004;2023-10-04T00:00:00.000;13507;4;1995;1840;695;1500;57533;392C;e1*2001/116*0346*09;WA71;AB;0;B;;;;;;
01GZB4;Personenauto;BMW;X REIHE;20230215;terreinvoertuig;GRIJS;Niet geregistreerd;4;1630;1730;20060601;20080925;Geen verstrekking in Open Data;Ja;4;4;M1;by r. schroefveerkoker onder motorkap;;0.06;279;Nee;Nee;Nee;2023;Geen oordeel;05;Ja;2023-02-15T00:00:00.000;2006-06-01T00:00:00.000;2008-09-25T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;457;0;2200;0;3875;20240215;2024-02-15T00:00:00.000;11721;5;1995;2200;720;1600;;X83;e1*2001/116*0249*06;PA31;01;0;D;0.00;;;;;
01GZJF;Personenauto;BMW;3ER REIHE;20090921;sedan;GRIJS;Niet geregistreerd;4;1260;1360;20010426;20010426;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.06;273;Nee;Nee;Nee;2022;Geen oordeel;07;Ja;2009-09-21T00:00:00.000;2001-04-26T00:00:00.000;2001-04-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;447;0;1785;1;3110;20240206;2024-02-06T00:00:00.000;7768;5;1895;1785;670;1250;;;e1*98/14*0097*08;AL11;01;0;C;;;;;;
01GZPF;Personenauto;BMW;3ER REIHE;20070713;sedan;GRIJS;Niet geregistreerd;4;1260;1360;20010502;20010502;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.06;273;Nee;Ja;Nee;2022;Geen oordeel;07;Ja;2007-07-13T00:00:00.000;2001-05-02T00:00:00.000;2001-05-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;447;0;1785;1;3260;20230723;2023-07-23T00:00:00.000;8554;5;1895;1785;680;1400;;;e1*98/14*0097*08;AL31;01;0;C;;;;;;
01GZZ8;Personenauto;BMW;3ER REIHE;20220923;sedan;GRIJS;Niet geregistreerd;4;1335;1435;20070330;20081002;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.07;276;Nee;Nee;Nee;2022;Geen oordeel;05;Ja;2022-09-23T00:00:00.000;2007-03-30T00:00:00.000;2008-10-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1880;0;3205;20230927;2023-09-27T00:00:00.000;10581;5;1995;1880;695;1250;;;e1*2001/116*0308*05;VA51;01;0;C;;;;;;
01HBH3;Personenauto;BMW;3ER REIHE;20220318;stationwagen;GRIJS;Niet geregistreerd;4;1405;1505;20081015;20081015;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.08;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2022-03-18T00:00:00.000;2008-10-15T00:00:00.000;2008-10-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1970;0;3445;20231015;2023-10-15T00:00:00.000;9051;5;1995;1970;695;1400;42511;390L;e1*2001/116*0308*08;VR91;AA;0;A;;;;;;
