kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;type_gasinstallatie;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;vervaldatum_apk;vervaldatum_apk_dt;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging
0004ZT;Personenauto;BMW;2002AUTOMATIC;20150921;Niet geregistreerd;BLAUW;Niet geregistreerd;4;1044;1144;19730105;19730105;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;G2 gasinstallatie;0.00;250;Nee;Nee;Nee;2012;Geen oordeel;07;Ja;2015-09-21T00:00:00.000;1973-01-05T00:00:00.000;1973-01-05T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0017JU;Personenauto;BMW;1600 CABRIOLET;19971024;Niet geregistreerd;WIT;Niet geregistreerd;4;956;1056;19691015;19691015;Geen verstrekking in Open Data;Nee;2;4;M1;;;0.00;250;Nee;Nee;Nee;2012;Geen oordeel;01;Ja;1997-10-24T00:00:00.000;1969-10-15T00:00:00.000;1969-10-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
0098EF;Personenauto;BMW;1600 - 2;19881213;Niet geregistreerd;CREME;Niet geregistreerd;4;920;1020;19670601;19670601;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2020;Geen oordeel;01;Ja;1988-12-13T00:00:00.000;1967-06-01T00:00:00.000;1967-06-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
00EU01;Personenauto;BMW;1602;19770315;Niet geregistreerd;GEEL;Niet geregistreerd;4;980;1080;19750115;19750115;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2022;Logisch;00;Ja;1977-03-15T00:00:00.000;1975-01-15T00:00:00.000;1975-01-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;20240528;2024-05-28T00:00:00.000;;;;;;;;;;;;;;;;;;;
00EU06;Personenauto;BMW;1602;19921127;Niet geregistreerd;ROOD;Niet geregistreerd;4;980;1080;19750115;19750115;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2022;Geen oordeel;01;Ja;1992-11-27T00:00:00.000;1975-01-15T00:00:00.000;1975-01-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;20240826;2024-08-26T00:00:00.000;;;;;;;;;;;;;;;;;;;
00EV06;Personenauto;BMW;1602;20200828;Niet geregistreerd;BEIGE;Niet geregistreerd;4;980;1080;19750113;19750113;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2020;Geen oordeel;01;Ja;2020-08-28T00:00:00.000;1975-01-13T00:00:00.000;1975-01-13T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;20200409;2020-04-09T00:00:00.000;;;;;;;;;;;;;;;;;;;
00FA17;Personenauto;BMW;2002 AUTOMATIC;20161122;Niet geregistreerd;BLAUW;Niet geregistreerd;4;1000;1100;19750220;19750220;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2007;Geen oordeel;01;Ja;2016-11-22T00:00:00.000;1975-02-20T00:00:00.000;1975-02-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;20080227;2008-02-27T00:00:00.000;;;;;;;;;;;;;;;;;;;
00FG17;Personenauto;BMW;2002;19880125;Niet geregistreerd;ROOD;Niet geregistreerd;4;1000;1100;19750416;19750416;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;1988-01-25T00:00:00.000;1975-04-16T00:00:00.000;1975-04-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
00FP46;Personenauto;BMW;2002;20040409;Niet geregistreerd;GROEN;Niet geregistreerd;4;1000;1100;19750417;19750417;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2022;Geen oordeel;01;Ja;2004-04-09T00:00:00.000;1975-04-17T00:00:00.000;1975-04-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;20241228;2024-12-28T00:00:00.000;;;;;;;;;;;;;;;;;;;
00FR38;Personenauto;BMW;2002 TII;20201009;Niet geregistreerd;BEIGE;Niet geregistreerd;4;1000;1100;19750418;19750418;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2001;Geen oordeel;01;Ja;2020-10-09T00:00:00.000;1975-04-18T00:00:00.000;1975-04-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;20020731;2002-07-31T00:00:00.000;;;;;;;;;;;;;;;;;;;
00FT17;Personenauto;BMW;2002;20150511;Niet geregistreerd;GRIJS;Niet geregistreerd;4;1000;1100;19750418;19750418;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2021;Logisch;00;Ja;2015-05-11T00:00:00.000;1975-04-18T00:00:00.000;1975-04-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;20230901;2023-09-01T00:00:00.000;;;;;;;;;;;;;;;;;;;
00FT19;Personenauto;BMW;2002;20210709;Niet geregistreerd;GRIJS;Niet geregistreerd;4;1000;1100;19750418;19750418;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2022;Geen oordeel;01;Ja;2021-07-09T00:00:00.000;1975-04-18T00:00:00.000;1975-04-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;20240418;2024-04-18T00:00:00.000;;;;;;;;;;;;;;;;;;;
00FT28;Personenauto;BMW;TOURING 2000 TII;20150303;Niet geregistreerd;CREME;Niet geregistreerd;4;1060;1160;19750418;19750418;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2021;Geen oordeel;01;Ja;2015-03-03T00:00:00.000;1975-04-18T00:00:00.000;1975-04-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;20230617;2023-06-17T00:00:00.000;;;;;;;;;;;;;;;;;;;
00FU55;Personenauto;BMW;1602;20191221;Niet geregistreerd;GRIJS;Niet geregistreerd;4;980;1080;19750620;19750620;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2021;Geen oordeel;01;Ja;2019-12-21T00:00:00.000;1975-06-20T00:00:00.000;1975-06-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;20230630;2023-06-30T00:00:00.000;;;;;;;;;;;;;;;;;;;
00FX45;Personenauto;BMW;2002 AUTOMATIC;19900804;Niet geregistreerd;CREME;Niet geregistreerd;4;1000;1100;19750522;19750522;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;1990-08-04T00:00:00.000;1975-05-22T00:00:00.000;1975-05-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
00FX52;Personenauto;BMW;1602;20001230;Niet geregistreerd;GRIJS;Niet geregistreerd;4;980;1080;19750521;19750521;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2012;Geen oordeel;01;Ja;2000-12-30T00:00:00.000;1975-05-21T00:00:00.000;1975-05-21T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;20140809;2014-08-09T00:00:00.000;;;;;;;;;;;;;;;;;;;
00FX53;Personenauto;BMW;1602;20191121;Niet geregistreerd;GRIJS;Niet geregistreerd;4;980;1080;19750515;19750515;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2004;Geen oordeel;01;Ja;2019-11-21T00:00:00.000;1975-05-15T00:00:00.000;1975-05-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;20060506;2006-05-06T00:00:00.000;;;;;;;;;;;;;;;;;;;
00FZ40;Personenauto;BMW;2002;19920406;Niet geregistreerd;CREME;Niet geregistreerd;4;1000;1100;19750516;19750516;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2022;Geen oordeel;01;Ja;1992-04-06T00:00:00.000;1975-05-16T00:00:00.000;1975-05-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;20240726;2024-07-26T00:00:00.000;;;;;;;;;;;;;;;;;;;
00GA35;Personenauto;BMW;1602;20210303;Niet geregistreerd;GROEN;Niet geregistreerd;4;980;1080;19750516;19750516;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2013;Geen oordeel;01;Ja;2021-03-03T00:00:00.000;1975-05-16T00:00:00.000;1975-05-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;20150611;2015-06-11T00:00:00.000;;;;;;;;;;;;;;;;;;;
00GA36;Personenauto;BMW;1602;20120406;Niet geregistreerd;BLAUW;Niet geregistreerd;4;980;1080;19750526;19750526;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;;0.00;250;Nee;Nee;Nee;2022;Geen oordeel;01;Ja;2012-04-06T00:00:00.000;1975-05-26T00:00:00.000;1975-05-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;20240404;2024-04-04T00:00:00.000;;;;;;;;;;;;;;;;;;;
00GBR2;Personenauto;BMW;3ER REIHE;20100520;sedan;ZWART;Niet geregistreerd;4;1325;1425;20080526;20080526;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.06;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2010-05-20T00:00:00.000;2008-05-26T00:00:00.000;2008-05-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1870;0;3045;20230526;2023-05-26T00:00:00.000;7200;5;1599;1870;695;1100;35452;390L;e1*2001/116*0308*08;VF31;AA;0;A;;;;;;
00GDB4;Personenauto;BMW;1ER REIHE;20211119;hatchback;GRIJS;Niet geregistreerd;4;1240;1340;20080602;20080602;Geen verstrekking in Open Data;Ja;2;4;M1;r. schroefveerkoker onder motorkap;;0.08;266;Nee;Nee;Nee;2022;Logisch;00;Ja;2021-11-19T00:00:00.000;2008-06-02T00:00:00.000;2008-06-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;424;0;1765;0;3040;20231125;2023-11-25T00:00:00.000;6399;4;1995;1765;670;1200;30427;187;e1*2001/116*0287*13;UB91;AI;0;B;;;;;;
00GDT8;Personenauto;BMW;5ER REIHE;20190729;stationwagen;GRIJS;Niet geregistreerd;4;1575;1675;20080603;20080603;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.07;289;Nee;Nee;Nee;2022;Logisch;00;Ja;2019-07-29T00:00:00.000;2008-06-03T00:00:00.000;2008-06-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;484;0;2200;0;4060;20230613;2023-06-13T00:00:00.000;13784;5;1995;2200;750;1800;58168;560L;e1*2001/116*0230*12;PX31;AC;0;A;;;;;;
00GFB1;Personenauto;BMW;1ER REIHE;20080606;cabriolet;GRIJS;Niet geregistreerd;4;1435;1535;20080606;20080606;Geen verstrekking in Open Data;Ja;2;4;M1;op r. schroefveerkoker onder motorkap;;0.08;266;Nee;Nee;Nee;2022;Onlogisch;04;Ja;2008-06-06T00:00:00.000;2008-06-06T00:00:00.000;2008-06-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;436;0;1900;0;3175;20230606;2023-06-06T00:00:00.000;13447;4;1995;1900;750;1200;55333;182;e1*2001/116*0352*03;UM51;AB;0;C;;;;;;
00GFL3;Personenauto;BMW;3ER REIHE;20181016;cabriolet;ZWART;Niet geregistreerd;6;1725;1825;20070522;20080603;Geen verstrekking in Open Data;Ja;2;4;M1;op r. schroefveerkoker onder motorkap;;0.12;276;Nee;Nee;Nee;2022;Geen oordeel;05;Ja;2018-10-16T00:00:00.000;2007-05-22T00:00:00.000;2008-06-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;458;0;2180;0;3955;20231206;2023-12-06T00:00:00.000;23666;4;2979;2180;750;1700;;;e1*2001/116*0346*04;WL71;02;0;F;;;;;;
00GFZ3;Personenauto;BMW;1ER REIHE;20220820;stationwagen;BLAUW;Niet geregistreerd;4;1320;1420;20080613;20080613;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.07;266;Nee;Nee;Nee;2022;Logisch;00;Ja;2022-08-20T00:00:00.000;2008-06-13T00:00:00.000;2008-06-13T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;424;0;1855;0;3130;20230629;2023-06-29T00:00:00.000;9373;5;1995;1855;690;1200;37411;187;e1*2001/116*0287*12;UD71;AB;0;C;;;;;;
00GGB4;Personenauto;BMW;Z4 3.0 SI;20170927;cabriolet;BLAUW;Niet geregistreerd;6;1370;1470;20071010;20080609;Geen verstrekking in Open Data;Nee;2;4;M1;r. schroefveerkoker;;0.13;250;Nee;Nee;Nee;2022;Geen oordeel;05;Ja;2017-09-27T00:00:00.000;2007-10-10T00:00:00.000;2008-06-09T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;1640;;;20230530;2023-05-30T00:00:00.000;17513;2;2996;1640;;;;;;;;;;;;;;;
00GGP9;Personenauto;BMW;Z REIHE;20190911;cabriolet;ZWART;Niet geregistreerd;6;1245;1345;20010816;20080625;Geen verstrekking in Open Data;Nee;2;4;M1;midden tegen schutbord onder motorkap;;0.09;245;Nee;Nee;Nee;2022;Geen oordeel;05;Ja;2019-09-11T00:00:00.000;2001-08-16T00:00:00.000;2008-06-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;405;0;1540;1;0;20230328;2023-03-28T00:00:00.000;9273;2;2171;1540;;;;;e1*98/14*0029*12;CN11;11;0;F;;;;;;
00GHD3;Personenauto;BMW;3ER REIHE;20220405;sedan;ZWART;Niet geregistreerd;4;1325;1425;20080626;20080626;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.06;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2022-04-05T00:00:00.000;2008-06-26T00:00:00.000;2008-06-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1870;0;3045;20230406;2023-04-06T00:00:00.000;6494;5;1599;1870;695;1100;32760;390L;e1*2001/116*0308*08;VF31;AA;0;A;;;;;;
00GHK7;Personenauto;BMW;3ER REIHE;20180210;coupe;ZWART;Niet geregistreerd;4;1335;1435;20080627;20080627;Geen verstrekking in Open Data;Ja;2;4;M1;op r. schroefveerkoker onder motorkap;;0.09;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2018-02-10T00:00:00.000;2008-06-27T00:00:00.000;2008-06-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;458;0;1810;0;3285;20230713;2023-07-13T00:00:00.000;10256;4;1995;1810;695;1400;45136;392C;e1*2001/116*0346*07;WA71;AA;0;B;;;;;;
00GHP7;Personenauto;BMW;1ER REIHE;20200619;hatchback;BRUIN;Niet geregistreerd;4;1250;1350;20080626;20080626;Geen verstrekking in Open Data;Ja;4;4;M1;r. schroefveerkoker onder motorkap;;0.08;266;Nee;Nee;Nee;2022;Logisch;00;Ja;2020-06-19T00:00:00.000;2008-06-26T00:00:00.000;2008-06-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;424;0;1775;0;3050;20230405;2023-04-05T00:00:00.000;6362;5;1995;1775;670;1200;30288;187;e1*2001/116*0287*13;UE51;AJ;0;B;;;;;;
00GJF6;Personenauto;BMW;X REIHE;20211125;stationwagen;ZWART;Niet geregistreerd;4;1725;1825;20080627;20080627;Geen verstrekking in Open Data;Ja;4;4;M1;by r. schroefveerkoker onder motorkap;;0.07;280;Nee;Nee;Nee;2022;Logisch;00;Ja;2021-11-25T00:00:00.000;2008-06-27T00:00:00.000;2008-06-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;457;0;2265;0;4340;20231220;2023-12-20T00:00:00.000;14909;5;1995;2265;720;2000;57396;X83;e1*2001/116*0249*10;PE11;AL;0;D;0.00;;;;;
00GJF7;Personenauto;BMW;3ER REIHE;20150610;sedan;ZWART;Niet geregistreerd;4;1405;1505;20080705;20080705;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.07;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2015-06-10T00:00:00.000;2008-07-05T00:00:00.000;2008-07-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1950;0;3625;20230705;2023-07-05T00:00:00.000;8187;5;1995;1950;745;1600;36826;390L;e1*2001/116*0308*08;VG11;AC;0;A;;;;;;
00GJK8;Personenauto;BMW;3ER REIHE;20120904;sedan;ZWART;Niet geregistreerd;4;1335;1435;20080701;20080701;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.07;276;Nee;Nee;Nee;2023;Logisch;00;Ja;2012-09-04T00:00:00.000;2008-07-01T00:00:00.000;2008-07-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1880;0;3205;20230930;2023-09-30T00:00:00.000;7154;5;1995;1880;695;1250;35276;390L;e1*2001/116*0308*08;VF51;AA;0;A;;;;;;
