kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_ondersteunende_snelheid;catalogusprijs;maximum_last_onder_de_vooras_sen_tezamen_koppeling;type_gasinstallatie;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd
01LPV9;Personenauto;NISSAN;PIXO;20230328;20210909;;hatchback;4;BLAUW;Niet geregistreerd;3;996;830;1250;930;100;200;20090828;20100616;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;by schutbord;1250;HF;e6*2001/116*0124*00;D31S;MT;0;0.05;236;Nee;Nee;Nee;1450;0;2022;Geen oordeel;05;Ja;2023-03-28T00:00:00.000;2021-09-09T00:00:00.000;2009-08-28T00:00:00.000;2010-06-16T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;0;;;;;;
01LPX9;Personenauto;NISSAN;NISSAN QASHQAI;20230611;20121011;5283;MPV;5;PAARS;Niet geregistreerd;4;1598;1210;1830;1310;655;1200;20100610;20100610;Geen verstrekking in Open Data;Ja;4;4;0;0;433;0;M1;r. op schutbord onder motorkap;1830;J10;e11*2001/116*0295*11;A;A01;0;0.06;263;Nee;Nee;Nee;3030;0;2022;Logisch;00;Ja;2023-06-11T00:00:00.000;2012-10-11T00:00:00.000;2010-06-10T00:00:00.000;2010-06-10T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;26778;;;;;;;
01LRFZ;Personenauto;NISSAN;NISSAN MICRA;20240123;20210511;2208;hatchback;5;ZWART;Niet geregistreerd;4;1240;940;1475;1040;510;800;20030414;20030414;Geen verstrekking in Open Data;Ja;2;4;0;0;372;0;M1;r. tegen schutbord onder motorkap;1475;;e11*2001/116*0195*00;B;B02;0;0.06;243;Nee;Nee;Nee;2275;0;2023;Logisch;00;Ja;2024-01-23T00:00:00.000;2021-05-11T00:00:00.000;2003-04-14T00:00:00.000;2003-04-14T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;
01LRK7;Personenauto;NISSAN;NISSAN QASHQAI;20230623;20210108;4946;MPV;5;WIT;Niet geregistreerd;4;1598;1210;1830;1310;655;1200;20100622;20100622;Geen verstrekking in Open Data;Ja;4;4;0;0;433;0;M1;r. op schutbord onder motorkap;1830;J10;e11*2001/116*0295*11;A;A01;0;0.06;263;Nee;Nee;Nee;3030;0;2022;Logisch;00;Ja;2023-06-23T00:00:00.000;2021-01-08T00:00:00.000;2010-06-22T00:00:00.000;2010-06-22T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;25007;;;;;;;
01LRP3;Personenauto;NISSAN;NISSAN PIXO;20230712;20100618;;hatchback;4;GRIJS;Niet geregistreerd;3;996;830;1250;930;100;200;20100618;20100618;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;by schutbord;1250;HF;e6*2001/116*0124*01;D31S;MT;0;0.05;236;Nee;Nee;Nee;1450;0;2022;Logisch;00;Ja;2023-07-12T00:00:00.000;2010-06-18T00:00:00.000;2010-06-18T00:00:00.000;2010-06-18T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;9580;;;;;;;
01LRS6;Personenauto;NISSAN;NISSAN QASHQAI;20240102;20220928;4871;MPV;5;GRIJS;Niet geregistreerd;4;1598;1210;1830;1310;655;1200;20100619;20100619;Geen verstrekking in Open Data;Ja;4;4;0;0;433;0;M1;r. op schutbord onder motorkap;1830;J10;e11*2001/116*0295*11;A;A01;0;0.06;263;Nee;Nee;Nee;3030;0;2023;Logisch;00;Ja;2024-01-02T00:00:00.000;2022-09-28T00:00:00.000;2010-06-19T00:00:00.000;2010-06-19T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;24614;;;;;;;
01LRTG;Personenauto;NISSAN;NISSAN MICRA;20231113;20210910;2571;hatchback;5;BLAUW;Niet geregistreerd;4;1240;955;1475;1055;510;800;20030415;20030415;Geen verstrekking in Open Data;Ja;4;4;0;0;372;0;M1;r. tegen schutbord onder motorkap;1475;;e11*2001/116*0195*00;F;F02;0;0.06;243;Nee;Nee;Nee;2275;0;2022;Logisch;00;Ja;2023-11-13T00:00:00.000;2021-09-10T00:00:00.000;2003-04-15T00:00:00.000;2003-04-15T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;
01LSF7;Personenauto;NISSAN;NISSAN PIXO;20230702;20210614;;hatchback;4;ZWART;Niet geregistreerd;3;996;830;1250;930;100;200;20100623;20100623;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;by schutbord;1250;HF;e6*2001/116*0124*01;D31S;MT;0;0.05;236;Nee;Nee;Nee;1450;0;2022;Logisch;00;Ja;2023-07-02T00:00:00.000;2021-06-14T00:00:00.000;2010-06-23T00:00:00.000;2010-06-23T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;9580;;;;;;;
01LSND;Personenauto;NISSAN;NISSAN ALMERA;20230620;20230207;4307;hatchback;5;ZWART;Niet geregistreerd;4;1769;1162;1735;1262;600;1100;20030603;20030603;Geen verstrekking in Open Data;Ja;4;4;0;0;420;0;M1;r. tegen schutbord onder motorkap;1735;;e11*98/14*0129*09;S;S01;0;0.07;254;Nee;Nee;Nee;2835;0;2022;Logisch;00;Ja;2023-06-20T00:00:00.000;2023-02-07T00:00:00.000;2003-06-03T00:00:00.000;2003-06-03T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;
01LSPP;Personenauto;NISSAN;NISSAN PRIMERA;20230530;20220219;5246;sedan;5;GRIJS;Niet geregistreerd;4;1998;1315;1910;1415;700;1500;20030508;20030508;Geen verstrekking in Open Data;Ja;4;4;0;0;457;0;M1;op bodemplaat by r. voorzitting;1910;;e11*98/14*0183*02;C;C03;0;0.07;268;Nee;Nee;Nee;3410;0;2022;Logisch;00;Ja;2023-05-30T00:00:00.000;2022-02-19T00:00:00.000;2003-05-08T00:00:00.000;2003-05-08T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;
